"astro-ph/0012040","Alexander Kusenko","Alexander Kusenko and Vadim A. Kuzmin","Possible galactic sources of ultrahigh-energy cosmic rays and a strategy
  for their detection via gravitational lensing","3 pages, one figure; references added","Pisma Zh.Eksp.Teor.Fiz.73:503,2001; JETP Lett.73:443-445,2001","10.1134/1.1385653","UCLA/00/TEP/28, BNL-HET-00/43","astro-ph hep-ph",,"  If decays of superheavy relic particles in the galactic halo are responsible
for ultrahigh-energy cosmic rays, these particles must be clustered to account
for small-scale anisotropy in the AGASA data. We show that the masses of such
clusters are large enough for them to gravitationally lens stars and galaxies
in the background. We propose a general strategy that can be used to detect
such clusters via gravitational lensing, or to rule out the hypothesis of
decaying relic particles as the origin of highest-energy cosmic rays.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 23:50:20 GMT""},{""version"":""v2"",""created"":""Thu, 12 Apr 2001 23:39:19 GMT""}]","2014-10-13"
"astro-ph/0012099","Davide Lazzati","D. Lazzati (1), S. Campana (1), S. Covino (1), G.L. Israel (2), L.
  Guzzo (1), R. Mignani (3), A. Moretti (1), M.R. Panzera (1) and G.
  Tagliaferri (1) ((1) Osservatorio Astronomico di Brera (2) Osservatorio
  Astronomico di Roma (3) ESO Garching)","The BMW (Brera-Multiscale-Wavelet) Catalogue of Serendipitous X-ray
  Sources","7 pages, 6 postscript files, 2 gif images, to appear in the
  proceedings of the conference ""Mining the Sky"", August 2000, Garching,
  Germany",,"10.1007/10849171_65",,"astro-ph",,"  In collaboration with the Observatories of Palermo and Rome and the SAX-SDC
we are constructing a multi-site interactive archive system featuring specific
analysis tools. In this context we developed a detection algorithm based on the
Wavelet Transform (WT) and performed a systematic analysis of all ROSAT-HRI
public data (~3100 observations +1000 to come). The WT is specifically suitable
to detect and characterize extended sources while properly detecting point
sources in very crowded fields. Moreover, the good angular resolution of HRI
images allows the source extension and position to be accurately determined.
This effort has produced the BMW (Brera Multiscale Wavelet) catalogue, with
more than 19,000 sources detected at the 4.2 sigma level. For each source
detection we have information on the X-ray flux and extension, allowing for
instance to select complete samples of extended X-ray sources such as candidate
clusters of galaxies or SNR's. Here we present an overview of first results
from several undergoing projects which make use of the BMW catalogue.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 13:19:52 GMT""}]","2009-10-31"
"astro-ph/0012100","Dirk Grupe","D. Grupe, H.-C. Thomas, and K. Beuermann","X-ray variability in a complete sample of Soft X-ray selected AGN","17 pages (including 7 Figures), accepted for in A&A (main journal),
  also available at http://www.xray.mpe.mpg.de/~dgrupe/research/refereed.html",,"10.1051/0004-6361:20000429",,"astro-ph",,"  We present ROSAT All-Sky Survey and ROSAT pointed observations (PSPC and HRI)
of a complete sample of 113 bright soft X-ray AGN selected from the ROSAT
Bright Source Catalog. We compare these observations in order to search for
extreme cases of flux and spectral X-ray variability - X-ray transient AGN.
Three definite transients and one transient candidate are found.
  The other sources show amplitude variations typically by factors of 2-3 on
timescales of years. We found that the variability strength on timescales of
days is a function of the steepness of the X-ray spectrum: steeper X-ray
objects show stronger variability than flat X-ray spectrum sources. We also
present new HRI measurements of our extreme X-ray transients IC 3599 and
WPVS007. We discuss possible models to explain the X-ray transience and the
variabilities observed in the non-transient sources.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 13:25:07 GMT""}]","2016-08-30"
"astro-ph/0012101","Evgeny Griv","Evgeny Griv (1), Michael Gedalin (1), Edward Liverts (1), David
  Eichler (1), and Chi Yuan (2) ((1) Department of Physics, Ben-Gurion
  University of the Negev, Israel, (2) Academia Sinica Institute of Astronomy
  and Astrophysics (ASIAA), Taiwan)","Formation of the Planetary Sequence in a Highly Flattened Disk of
  Frequently Colliding Planetesimals","3 pages, 1 figure, presented by E. Griv at the IAU Symp. 202,
  Manchester, UK, 2000",,,,"astro-ph",,"  The kinetic theory is used to study the evolution of the self-gravitating
disk of planetesimals. The effects of frequent collisions between planetesimals
are taken into account by using a Krook integral in the Boltzmann kinetic
equation. It is shown that as a result of an aperiodic collision-dissipative
instability of small gravity disturbances the disk is subdivided into numerous
dense fragments. These can eventually condense into the planetary sequence.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 13:34:15 GMT""}]","2007-05-23"
"astro-ph/0012102","Charles R. Cowley","Charles R. Cowley, S. Hubrig, T. A. Ryabchikova, G. Mathys, N.
  Piskinov and P. Mittermayer","The Core-Wing Anomaly of Cool Ap Stars: Abnormal Balmer Profiles","4 Pages 5 Figures. Submitted to Astronomy and Astrophysics 4 Dec.
  2000",,"10.1051/0004-6361:20000539",,"astro-ph",,"  Paper by Cowley et al. The Core-Wing Anomaly Etc. The profiles of H$\alpha$
in a number of cool Ap stars are anomalous. Broad wings, indicative of
temperatures in the range 7000-8000K end abruptly in narrow cores. The widths
of these cores are compatible with those of dwarfs with temperatures of 6000K
or lower. This profile has been known for Przybylski's star, but it is seen in
other cool Ap's. The H$\beta$ profile in several of these stars shows a similar
core-wing anomaly (CWA). In Przybylski's star, the CWA is probably present at
higher Balmer members. We are unable to account for these profiles within the
context of LTE and normal dwarf atmospheres. We conclude that the atmospheres
of these stars are not ``normal.'' This is contrary to a notion that has long
been held.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 13:42:28 GMT""}]","2009-10-31"
"astro-ph/0012103","Fabrizio Bocchino","F. Bocchino (ESA-Estec), A.N. Parmar (ESA-Estec), S. Mereghetti
  (IFCTR-CNR), M. Orlandini (ITeSRE-CNR), A. Santangelo (IFCAI-CNR), L.
  Angelini (GSFC-NASA)","X-ray emission in the direction of the SNR G318.2+0.1","7 pages, 4 figures, accepted for publication in A&A, abstract was
  hidden, now it is OK",,"10.1051/0004-6361:20000430",,"astro-ph",,"  We report the discovery of three X-ray sources within the radio shell
G318.2+0.1, one of which may be extended. Two of the sources were detected
during the \sax Galactic Plane Survey and one was found in archival \ros data.
The fainter \sax source is coincident with an ultra-compact galactic H {\sc ii}
region, and we discuss the possibility that it can be a flaring young stellar
object, while the other \sax source has no obvious counterpart. The PSPC source
is consistent with emission from a foreground star. The hard spectrum of the
brighter \sax source is consistent with a non-thermal origin, although a
thermal nature cannot be formally excluded. If this source is associated with
G318.2+0.1, then its hard spectrum suggests that it may be site of non-thermal
electron acceleration.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 14:18:45 GMT""},{""version"":""v2"",""created"":""Wed, 6 Dec 2000 13:52:01 GMT""}]","2009-10-31"
"astro-ph/0012104","Estelle Moraux","E. Moraux, J. Bouvier, J.R. Stauffer","Proper motion of very low mass stars and brown dwarfs in the Pleiades
  cluster","7 pages, 2 tables, 2 figures, accepted by A&A",,"10.1051/0004-6361:20000414",,"astro-ph",,"  We report proper motion measurements for 25 very-low mass (VLM) star and
brown dwarf (BD) candidates of the Pleiades cluster previously identified by
Bouvier et al. (1998). Proper motions are measured with an accuracy of 9
mas/yr, compared to an expected tangential motion of about 50 mas/yr for
Pleiades members. Of the 25 candidates, 15 have a membership probability of 95%
or more and 7 are rejected as being field dwarfs. The 3 remaining candidates
exhibit independent evidence for membership (lithium absorption or long-term
proper motion). From the firm identification of Pleiades VLM and BD members,
the cluster's substellar mass function is revised to dN/dM \propto M^{-0.5} in
the mass range from 0.04 to 0.3 M_solar.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 14:41:01 GMT""}]","2009-10-31"
"astro-ph/0012105","Peter Schuecker","Peter Schuecker, Hans Boehringer, Luigi Guzzo, Chris A. Collins, Doris
  M. Neumann, Sabine Schindler, Wolfgang Voges, Sabrina De Grandi, Guido
  Chincarini, Ray Cruddace, Volker Mueller, Thomas H. Reiprich, Joerg Retzlaff
  and Peter Shaver","The ROSAT-ESO Flux-Limited X-Ray (REFLEX) Galaxy Cluster Survey III: The
  Power Spectrum","22 pages, 20 figures, (A&A accepted), also available at
  http://www.xray.mpe.mpg.de/theorie/REFLEX/",,"10.1051/0004-6361:20000542",,"astro-ph",,"  We present a measure of the power spectrum on scales from 15 to 800 Mpc/h
using the ROSAT-ESO Flux-Limited X-Ray(REFLEX) galaxy cluster catalogue. The
REFLEX survey provides a sample of the 452 X-ray brightest southern clusters of
galaxies with the nominal flux limit S=3.0 10^{-12}erg/s/cm2 for the ROSAT
energy band (0.1-2.4)keV. Several tests are performed showing no significant
incompletenesses of the REFLEX clusters with X-ray luminosities brighter than
10^{43}erg/s up to scales of about 800 Mpc/h. They also indicate that cosmic
variance might be more important than previous studies suggest. We regard this
as a warning not to draw general cosmological conclusions from cluster samples
with a size smaller than REFLEX. Power spectra, P(k), of comoving cluster
number densities are estimated for flux- and volume-limited subsamples. The
most important result is the detection of a broad maximum within the comoving
wavenumber range 0.022<k<0.030 h/Mpc. The data suggest an increase of the power
spectral amplitude with X-ray luminosity. Compared to optically selected
cluster samples the REFLEX P(k)is flatter for wavenumbers k<0.05 h/Mpc thus
shifting the maximum of P(k) to larger scales. The smooth maximum is not
consistent with the narrow peak detected at k=0.05 h/Mpc using the Abell/ACO
richness $\ge 0$ data. In the range 0.02<k<0.4 h/Mpc general agreement is found
between the slope of the REFLEX P(k) and those obtained with optically selected
galaxies. A semi-analytic description of the biased nonlinear power spectrum in
redshift space gives the best agreement for low-density Cold Dark Matter models
with or without a cosmological constant.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 15:01:46 GMT""},{""version"":""v2"",""created"":""Wed, 6 Dec 2000 16:22:35 GMT""}]","2009-10-31"
"cond-mat/0012042","Jan H. Meinke","P.M. Duxbury and J.H. Meinke","Ground state non-universality in the random field Ising model","4 pages 2 figures, corrected prefactors caused by a missing factor of
  two in Eq. 2., added a paragraph in conclusions for clarity","Phys. Rev. E 64, 036112 (2001)","10.1103/PhysRevE.64.036112",,"cond-mat.dis-nn",,"  Two attractive and often used ideas, namely universality and the concept of a
zero temperature fixed point, are violated in the infinite-range random-field
Ising model. In the ground state we show that the exponents can depend
continuously on the disorder and so are non-universal. However, we also show
that at finite temperature the thermal order parameter exponent one half is
restored so that temperature is a relevant variable. The broader implications
of these results are discussed.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 17:21:26 GMT""},{""version"":""v2"",""created"":""Tue, 16 Jan 2001 15:13:35 GMT""}]","2007-05-23"
"cond-mat/0012043","Hans-Werner Hammer","Eric Braaten (Ohio State U.), H.-W. Hammer (Ohio State U.), and Shawn
  Hermans (St. John's U.)","Nonuniversal Effects in the Homogeneous Bose Gas","24 pages, RevTex, 5 ps figures, included with epsf.tex","Phys.Rev. A63 (2001) 063609","10.1103/PhysRevA.63.063609",,"cond-mat.stat-mech hep-ph nucl-th",,"  Effective field theory predicts that the leading nonuniversal effects in the
homogeneous Bose gas arise from the effective range for S-wave scattering and
from an effective three-body contact interaction. We calculate the leading
nonuniversal contributions to the energy density and condensate fraction and
compare the predictions with results from diffusion Monte Carlo calculations by
Giorgini, Boronat, and Casulleras. We give a crude determination of the
strength of the three-body contact interaction for various model potentials.
Accurate determinations could be obtained from diffusion Monte Carlo
calculations of the energy density with higher statistics.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 17:43:08 GMT""}]","2009-10-31"
"cond-mat/0012044","Dmitri Grinev","Sam F. Edwards and Moshe Schwartz","Lagrangian Statistical Mechanics applied to Non-linear Stochastic Field
  Equations","67 pages, 2 figures, corrected version",,,,"cond-mat.stat-mech",,"  We consider non-linear stochastic field equations such as the KPZ equation
for deposition and the noise driven Navier-Stokes equation for hydrodynamics.
We focus on the Fourier transform of the time dependent two point field
correlation, $\Phi_{\bf{k}}(t)$. We employ a Lagrangian method aimed at
obtaining the distribution function of the possible histories of the system in
a way that fits naturally with our previous work on the static distribution.
Our main result is a non-linear integro-differential equation for
$\Phi_{\bf{k}}(t)$, which is derived from a Peierls-Boltzmann type transport
equation for its Fourier transform in time $\Phi_{\bf{k}, \omega}$. That
transport equation is a natural extension of the steady state transport
equation, we previously derived for $\Phi_{\bf{k}}(0)$. We find a new and
remarkable result which applies to all the non-linear systems studied here. The
long time decay of $\Phi_{\bf{k}}(t)$ is described by $\Phi_{\bf{k}}(t) \sim
\exp(-a|{\bf k}|t^{\gamma})$, where $a$ is a constant and $\gamma$ is system
dependent.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 19:45:58 GMT""},{""version"":""v2"",""created"":""Fri, 16 Mar 2001 12:38:45 GMT""},{""version"":""v3"",""created"":""Thu, 27 Sep 2001 11:04:33 GMT""}]","2007-05-23"
"cond-mat/0012045","Jan-Alexander F. Heimel","J. A. F. Heimel, A. C. C. Coolen","Generating Functional Analysis of the Dynamics of the Batch Minority
  Game with Random External Information","15 pages, 6 figures, uses Revtex. Replaced an old version of
  volatility graph that. Rephrased and updated some references","Phys. Rev. E 63, 056121 (2001)","10.1103/PhysRevE.63.056121",,"cond-mat.dis-nn cond-mat.stat-mech q-fin.TR",,"  We study the dynamics of the batch minority game, with random external
information, using generating functional techniques a la De Dominicis. The
relevant control parameter in this model is the ratio $\alpha=p/N$ of the
number $p$ of possible values for the external information over the number $N$
of trading agents. In the limit $N\to\infty$ we calculate the location
$\alpha_c$ of the phase transition (signaling the onset of anomalous response),
and solve the statics for $\alpha>\alpha_c$ exactly. The temporal correlations
in global market fluctuations turn out not to decay to zero for infinitely
widely separated times. For $\alpha<\alpha_c$ the stationary state is shown to
be non-unique. For $\alpha\to 0$ we analyse our equations in leading order in
$\alpha$, and find asymptotic solutions with diverging volatility
$\sigma=\order(\alpha^{-{1/2}})$ (as regularly observed in simulations), but
also asymptotic solutions with vanishing volatility
$\sigma=\order(\alpha^{{1/2}})$. The former, however, are shown to emerge only
if the agents' initial strategy valuations are below a specific critical value.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 19:51:54 GMT""},{""version"":""v2"",""created"":""Tue, 5 Dec 2000 10:57:08 GMT""},{""version"":""v3"",""created"":""Mon, 11 Dec 2000 16:03:46 GMT""}]","2009-10-31"
"cond-mat/0012046","Eynard Bertrand","B. Eynard","Asymptotics of skew orthogonal polynomials","17 pages, Latex","J. Phys. A. 34 2001 7591-7605","10.1088/0305-4470/34/37/312","Saclay SPT-00/170, CRM 2698","cond-mat.mes-hall math-ph math.MP",,"  Exact integral expressions of the skew orthogonal polynomials involved in
Orthogonal (beta=1) and Symplectic (beta=4) random matrix ensembles are
obtained: the (even rank) skew orthogonal polynomials are average
characteristic polynomials of random matrices. From there, asymptotics of the
skew orthogonal polynomials are derived.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 20:18:31 GMT""}]","2009-10-31"
"cond-mat/0012047","Ivan A. Vartaniants","I.A. Vartanyants and M.V. Kovalchuk","Theory and Applications of X-ray Standing Waves in Real Crystals","101 pages, 43 figures, 3 tables","Rep. Prog. Phys. (2001), 64, pp. 1009-1084","10.1088/0034-4885/64/9/201",,"cond-mat.mtrl-sci",,"  Theoretical aspects of x-ray standing wave method for investigation of the
real structure of crystals are considered in this review paper. Starting from
the general approach of the secondary radiation yield from deformed crystals
this theory is applied to different concreat cases. Various models of deformed
crystals like: bicrystal model, multilayer model, crystals with extended
deformation field are considered in detailes. Peculiarities of x-ray standing
wave behavior in different scattering geometries (Bragg, Laue) are analysed in
detailes. New possibilities to solve the phase problem with x-ray standing wave
method are discussed in the review. General theoretical approaches are
illustrated with a big number of experimental results.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 21:36:11 GMT""}]","2015-06-24"
"cond-mat/0012048","Serge F. Mingaleev","Peter L. Christiansen, Yuri B. Gaididei, Franz G. Mertens, and Serge
  F. Mingaleev","Multi-component structure of nonlinear excitations in systems with
  length-scale competition","9 pages (LaTeX) with 8 figures (EPS)",,"10.1007/s100510170300",,"cond-mat.soft",,"  We investigate the properties of nonlinear excitations in different types of
soliton bearing systems with long-range dispersive interaction. We show that
length-scale competition in such systems universally results in a
multi-component structure of nonlinear excitations and can lead to a new type
of multistability: coexistence of different nonlinear excitations at the same
value of the spectral parameter (i.e., velocity in the case of anharmonic
lattices or frequency in nonlinear Schroedinger models).
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 21:08:41 GMT""}]","2009-10-31"
"cond-mat/0012049","Igor Mazin","I.I. Mazin","Tunneling of Bloch electrons through vacuum barrier","4 pages, no figs","Europhys. Lett., 55, 404, 2001","10.1209/epl/i2001-00414-0",,"cond-mat.mtrl-sci",,"  Tunneling of Bloch electrons through a vacuum barrier introduces new physical
effects in comparison with the textbook case of free (plane wave) electrons.
For the latter, the exponential decay rate in the vacuum is minimal for
electrons with the parallel component of momentum ${\bf k}_\parallel=0$, and
the prefactor is defined by the electron momentum component in the normal to
the surface direction. However, the decay rate of Bloch electrons may be
minimal at an arbitrary ${\bf k}_\parallel$ (``hot spots''), and the prefactor
is determined by the electron's group velocity, rather than by its
quasimomentum.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 23:44:43 GMT""}]","2009-10-31"
"cond-mat/0012050","John Shumway","J. Shumway, A. Franceschetti, and Alex Zunger","Correlation versus mean-field contributions to excitons, multi-excitons,
  and charging energies in semiconductor quantum dots","14 pages, 9 figures (to appear in Phys. Rev. B)","Phys. Rev. B 63, 155316 (2001)","10.1103/PhysRevB.63.155316",,"cond-mat",,"  Single-dot spectroscopy is now able to resolve the energies of excitons,
multi-excitons, and charging of semiconductor quantum dots with ~<1 meV
resolution. We discuss the physical content of these energies and show how they
can be calculated via Quantum Monte Carlo (QMC) and Configuration Interaction
(CI) methods.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 03:34:38 GMT""}]","2010-07-27"
"cond-mat/0012051","Ove Jepsen","E. Pavarini, I. Dasgupta, T. Saha-Dasgupta, O. Jepsen, and O.K.
  Andersen","Band-structure trend in hole-doped cuprates and correlation with Tcmax","5 pages, Latex, 5 eps figures","Phys. Rev. Lett. 87, 047003 (2001)","10.1103/PhysRevLett.87.047003",,"cond-mat",,"  By calculation and analysis of the bare conduction bands in a large number of
hole-doped high-temperature superconductors, we have identified the energy of
the so-called axial-orbital as the essential, material-dependent parameter. It
is uniquely related to the range of the intra-layer hopping. It controls the Cu
4s-character, influences the perpendicular hopping, and correlates with the
observed Tc at optimal doping. We explain its dependence on chemical
composition and structure, and present a generic tight-binding model.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 10:18:02 GMT""},{""version"":""v2"",""created"":""Fri, 6 Apr 2001 11:26:29 GMT""}]","2009-10-31"
"cond-mat/0012052","Dieter Vollhardt","D. Vollhardt and P. Woelfle","Superfluid Helium 3: Link between Condensed Matter Physics and Particle
  Physics","11 pages, 2 figures; to be published in Acta Physica Polonica B
  [Proceedings of the XL Jubilee Cracow School of Theoretical Physics on
  ""Quantum Phase Transitions in High Energy and Condensed Matter Physics""; 3-11
  June, 2000, Zakopane, Poland]","Acta Phys.Polon. B31 (2000) 2837",,,"cond-mat",,"  The discovery of the superfluid phases of Helium 3 in 1971 opened the door to
one of the most fascinating systems known in condensed matter physics.
Superfluidity of Helium 3, originating from pair condensation of Helium 3
atoms, turned out to be the ideal testground for many fundamental concepts of
modern physics, such as macroscopic quantum phenomena, (gauge-)symmetries and
their spontaneous breakdown, topological defects, etc. Thereby the superfluid
phases of Helium 3 enriched condensed matter physics enormously. In particular,
they contributed significantly - and continue to do so - to our understanding
of various other physical systems, from heavy fermion and high-Tc
superconductors all the way to neutron stars, particle physics, gravity and the
early universe. A simple introduction into the basic concepts and questions is
presented.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 10:48:48 GMT""}]","2007-05-23"
"cond-mat/0012053","Alla Moina","R. R. Levitskii, A. G. Slivka, A. P. Moina, P. M. Lukach, A. M. Guivan","Hydrostatic pressure influence on dielectric permittivity of KH2PO4 and
  KD2PO4 in the piezoelectric resonance region","13 pages, 7 figures",,,,"cond-mat.mtrl-sci",,"  We measured transverse and longitudinal dielectric permittivities of KDP and
DKDP in the piezoelectric resonance frequency region under the hydrostatic
pressure. The transverse permittivity decreases with pressure in the
paraelectric phase and increases in the ferroelectric phase. The pressure
dependence of the transverse permittivity of deuterated DKDP is well described
by the presented theory. The longitudinal permittivity of a pure KDP exhibits
several peaks in the vicinity of the transition point. Upon increasing
hydrostatic pressure, the peaks get closer and may merge.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 13:16:16 GMT""}]","2007-05-23"
"cond-mat/0012054","Srikanth Sastry","Srikanth Sastry","Onset Temperature of Slow Dynamics in Glass Forming Liquids","16 pages, 5 figures, to appear in PhysChemComm",,,,"cond-mat.stat-mech cond-mat.dis-nn cond-mat.soft",,"  The behaviour of a model glass forming liquid is analyzed for a range of
densities, with a focus on the temperature interval where the liquid begins to
display non-Arrhenius temperature dependence of relaxation times. Analyzing the
dynamics along with properties of local potential energy minima sampled by the
liquid, a crossover or onset temperature $T_s$ is identified below which the
liquid manifests {\it slow dynamics}, and a change in the character of typical
local potential energy minima.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 12:00:38 GMT""}]","2007-05-23"
"cond-mat/0012055","Keiji Fukui","K. Fukui, H. Ogasawara, A. Kotani, I. Harada, H. Maruyama, N.
  Kawamura, K. Kobayashi, J. Chaboy, and A. Marcelli","Magnetic circular dichroism of x-ray absorption spectroscopy at
  rare-earth L2,3 edges in RE2Fe14B compounds (RE = La, Pr, Nd, Sm, Gd, Tb, Dy,
  Ho, Er, Tm, Yb, and Lu)","9 pages, 5 figures, 1 table, REVTeX",,"10.1103/PhysRevB.64.104405",,"cond-mat.str-el",,"  Magnetic circular dichroism (MCD) in the x-ray absorption spectroscopy (XAS)
at the L2,3 edges for almost entire series of rare-earth (RE) elements in
RE2Fe14B, is studied experimentally and theoretically. By a quantitative
comparison of the complicated MCD spectral shapes, we find that (i) the 4f-5d
intra-atomic exchange interaction not only induces the spin and orbital
polarization of the 5d states, which is vital for the MCD spectra of the
electric dipole transition from the 2p core states to the empty 5d conduction
band, but also it accompanies a contraction of the radial part of the 5d wave
function depending on its spin and orbital state, which results in the
enhancement of the 2p-5d dipole matrix element, (ii) there are cases where the
spin polarization of the 5d states due to the hybridization with the spin
polarized 3d states of surrounding irons plays important roles, and (iii) the
electric quadrupole transition from the 2p core states to the magnetic vale!
nce 4f states is appreciable at the pre-edge region of the dipole spectrum.
Especially, our results evidence that it is important to include the
enhancement effect of the dipole matrix element in the correct interpretation
of the MCD spectra at the RE L2,3 edges.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 13:02:12 GMT""},{""version"":""v2"",""created"":""Wed, 6 Dec 2000 03:03:54 GMT""}]","2009-10-31"
"cond-mat/0012056","Vladislav Capek","V. Capek","Zeroth and Second Laws of Thermodynamics Simultaneously Questioned in
  the Quantum Microworld","Extended reference list and acknowledgements",,,,"cond-mat.stat-mech",,"  Several models of quantum open systems are known at present to violate,
according to principles of the standard quantum theory of open systems, the
second law of thermodynamics. Here, a new and rather trivial model of another
type is suggested describing mechanism that violates, according to the same
principles, the zeroth and the second laws of thermodynamics simultaneously. Up
to a technically minor modification, the model resembles some models already
known, solved by standard means, and properly understood. Universal validity of
two basic principles of thermodynamics in strictly quantum situations is thus
simultaneously called in question.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 13:33:45 GMT""},{""version"":""v2"",""created"":""Mon, 5 Feb 2001 10:19:54 GMT""}]","2007-05-23"
"cond-mat/0012058","Yamir Moreno Vega","Y. Moreno (Univ. of Zaragoza and The Abdus Salam ICTP), A. Correig
  (Univ. of Barcelona), J. B. Gomez, A. F. Pacheco (Univ. of Zaragoza)","A model for complex aftershock sequences","10 pages (two column), 5 figures. To appear in Journal of Geophysical
  Research","Journal of Geophysical Research, 106 B4, 6609-6619 (2001).","10.1029/2000JB900396",,"cond-mat.stat-mech cond-mat.dis-nn",,"  The decay rate of aftershocks is commonly very well described by the modified
Omori law, $n(t) \propto t^{-p}$, where n(t) is the number of aftershocks per
unit time, t is the time after the main shock, and p is a constant in the range
0.9<p<1.5, and usually close to 1. But there are also more complex aftershock
sequences for which the Omori law can be considered only as a first
approximation. One of these complex aftershock sequences took place in the
Eastern Pyrenees on February 18, 1996, and was described in detail by {\it
Correig et al.} [1997]. In this paper, we propose a new model inspired by
dynamic fiber-bundle models to interpret this type of complex aftershock
sequences with sudden increases in the rate of aftershock production not
directly related to the magnitude of the aftershocks (as in the epidemic-type
aftershock sequences). The model is a simple, discrete, stochastic fracture
model where the elements (asperities or barriers) break because of static
fatigue, transfer stress according to a local load-sharing rule and then are
regenerated. We find a very good agreement between the model and the Eastern
Pyrenees aftershock sequence and we propose that the key mechanism for
explaining aftershocks, apart from a time-dependent rock strength, is the
presence of dynamic stress fluctuations which constantly reset the initial
conditions for the next aftershock in the sequence.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 14:24:34 GMT""}]","2015-06-24"
"cond-mat/0012059","Igor P. Omelyan","I.P. Omelyan, I.M. Mryglod, and R. Folk","Algorithm for molecular dynamics simulations of spin liquids","4 pages, 2 figures; to be published in Phys. Rev. Lett",,"10.1103/PhysRevLett.86.898",,"cond-mat.soft",,"  A new symplectic time-reversible algorithm for numerical integration of the
equations of motion in magnetic liquids is proposed. It is tested and applied
to molecular dynamics simulations of a Heisenberg spin fluid. We show that the
algorithm exactly conserves spin lengths and can be used with much larger time
steps than those inherent in standard predictor-corrector schemes. The results
obtained for time correlation functions demonstrate the evident dynamic
interplay between the liquid and magnetic subsystems.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 15:12:07 GMT""}]","2009-10-31"
"cond-mat/0012060","Enzo Granato","Enzo Granato and Daniel Dominguez","Phase-coherence threshold and vortex-glass state in diluted
  Josephson-junction arrays in a magnetic field","6 pages, 4 figures, to appear in Phys. Rev. B","Phys. Rev. B 63, 094507 (2001)","10.1103/PhysRevB.63.094507",,"cond-mat.supr-con cond-mat.dis-nn",,"  We study numerically the interplay of phase coherence and vortex-glass state
in two-dimensional Josephson-junction arrays with average rational values of
flux quantum per plaquette $f$ and random dilution of junctions. For $f=1/2$,
we find evidence of a phase coherence threshold value $x_s$, below the
percolation concentration of diluted junctions $x_p$, where the superconducting
transition vanishes. For $x_s < x < x_p$ the array behaves as a
zero-temperature vortex glass with nonzero linear resistance at finite
temperatures. The zero-temperature critical currents are insensitive to
variations in $f$ in the vortex glass region while they are strongly $f$
dependent in the phase coherent region.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 15:17:35 GMT""}]","2009-10-31"
"cond-mat/0012061","Claudio Castellano","Claudio Castellano and Federico Corberi","Fast growth at low temperature in vacancy-mediated phase-separation","LaTeX, 5 pages, 4 figures, to appear on Phys. Rev. B","Phys. Rev. B 63, 060102 (2001).","10.1103/PhysRevB.63.060102",,"cond-mat.stat-mech",,"  We study the phase-separation dynamics of a two-dimensional Ising model where
A and B particles can only exchange position with a vacancy. In a wide range of
temperatures the kinetics is dominated, during a long preasymptotic regime, by
diffusion processes of particles along domain interfaces. The dynamical
exponent z associated to this mechanism differs from the one usually expected
for Kawasaki dynamics and is shown to assume different values depending on
temperature and relative AB concentration. At low temperatures, in particular,
domains grow as t^{1/2}, for equal AB volume fractions.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 15:42:46 GMT""}]","2009-10-31"
