"astro-ph/0012419","Michael T. Murphy","M. T. Murphy (UNSW), J. K. Webb (UNSW), V. V. Flambaum (UNSW), V. A.
  Dzuba (UNSW), C. W. Churchill (PSU), J. X. Prochaska (OCIW), J. D. Barrow
  (DAMTP), A. M. Wolfe (UCSD)","Possible evidence for a variable fine structure constant from QSO
  absorption lines: motivations, analysis and results","17 pages, 3 figures, MNRAS in press, corrected small typos and added
  an acknowledgment","Mon.Not.Roy.Astron.Soc.327:1208,2001","10.1046/j.1365-8711.2001.04840.x",,"astro-ph gr-qc hep-th nucl-th physics.atom-ph",,"  An experimental search for variation in the fundamental coupling constants is
strongly motivated by modern high-energy physics theories. Comparison of quasar
absorption line spectra with laboratory spectra provides a sensitive probe for
variability of the fine structure constant, alpha, over cosmological
time-scales. We have previously developed and applied a new method providing an
order of magnitude gain in precision over previous optical astrophysical
constraints. Here we extend that work by including new quasar spectra of damped
Lyman-alpha absorption systems. We also re-analyse our previous lower redshift
data and confirm our initial results. The constraints on alpha come from
simultaneous fitting of absorption lines of subsets of the following species:
Mg I, Mg II, Al II, Al III, Si II, Cr II, Fe II, Ni II and Zn II. We present a
detailed description of our methods and results based on an analysis of 49
quasar absorption systems (towards 28 QSOs) covering the redshift range 0.5 < z
< 3.5. There is statistical evidence for a smaller alpha at earlier epochs:
da/a = (-0.72 +/- 0.18) * 10^{-5}. The new and original samples are independent
but separately yield consistent and significant non-zero values of da/a. We
summarise the results of a thorough investigation of systematic effects
published in a companion paper. The value we quote above is the raw value, not
corrected for any of these systematic effects. The only significant systematic
effects so far identified, if removed from our data, would lead to a more
significant deviation of da/a from zero.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 22:50:04 GMT""},{""version"":""v2"",""created"":""Thu, 28 Dec 2000 22:59:05 GMT""},{""version"":""v3"",""created"":""Fri, 19 Jan 2001 02:18:10 GMT""},{""version"":""v4"",""created"":""Sun, 22 Jul 2001 06:36:20 GMT""},{""version"":""v5"",""created"":""Tue, 4 Sep 2001 06:18:42 GMT""}]","2008-11-26"
"astro-ph/0012457","Raffaele Gratton","R.G. Gratton, P. Bonifacio, A. Bragaglia, E. Carretta, V. Castellani,
  M. Centurion, A. Chieffi, R. Claudi, G. Clementini, F. D'Antona, S. Desidera,
  P. Francois, F. Grundahl, S. Lucatello, P. Molaro, L. Pasquini, C. Sneden, F.
  Spite, O. Straniero","The O-Na and Mg-Al Anticorrelations in Turn-Off and early Subgiants in
  Globular Clusters","20 pages, A&A Latex, including 7 .ps figures, tex-macro aa.cls, uses
  psfig.tex. submitted to Astronomy & Astrophysics","Astron.Astrophys.369:87-98,2001","10.1051/0004-6361:20010144",,"astro-ph",,"  High dispersion spectra (R>40,000) for a quite large number of stars at the
main sequence turn-off and at the base of the subgiant branch in NGC6397 and
NGC6752 were obtained with the UVES on Kueyen (VLT UT2). The [Fe/H] values we
found are -2.03+/-0.02+/-0.04 and -1.42+/-0.02+/-0.04 for NGC6397 and NGC6752
respectively, where the first error bars refer to internal errors and the
second ones to systematic errors. In both clusters the [Fe/H] obtained for
TO-stars agree perfectly (within a few per cents) with that obtained for stars
at the base of the RGB. The [O/Fe]=0.21+/-0.05 value we obtain for NGC6397 is
quite low, but it agrees with previous results obtained for giants in this
cluster; also, the star-to-star scatter in both O and Fe is very small,
indicating that this small mass cluster is chemically very homogenous. On the
other side, our results show clearly and for the first time that the O-Na
anticorrelation (up to now seen only for stars on the red giant branches of
globular clusters) is present among unevolved stars in the globular cluster
NGC6752, a more massive cluster than NGC6397. A similar anticorrelation is
present also for Mg and Al, and C and N. It is very difficult to explain the
observed Na-O, and Mg-Al anticorrelation in NGC6752 stars by a deep mixing
scenario; we think it requires some non internal mechanism.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 11:26:48 GMT""}]","2008-11-26"
"astro-ph/0012458","Burkhard Fuchs","B. Fuchs","Density waves in the shearing sheet I. Swing amplification","small corrections, uses new A&A style file",,"10.1051/0004-6361:20000562",,"astro-ph",,"  The shearing sheet model of a galactic disk is studied anew. The theoretical
description of its dynamics is based on three building blocks: Stellar orbits,
which are described here in epicyclic approximation, the collisionless
Boltzmann equation determining the distribution function of stars in phase
space, and the Poisson equation in order to take account of the self-gravity of
the disk. Using these tools I develop a new formalism to describe perturbations
of the shearing sheet. Applying this to the unbounded shearing sheet model I
demonstrate again how the disturbances of the disk evolve always into `swing
amplified' density waves, i.e. spiral-arm like, shearing density enhancements,
which grow and decay while the wave crests swing by from leading to trailing
orientation. Several examples are given how such `swing amplification' events
are incited in the shearing sheet.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 12:38:17 GMT""},{""version"":""v2"",""created"":""Fri, 2 Mar 2001 14:23:40 GMT""}]","2009-10-31"
"astro-ph/0012459","Anvar Shukurov","P. Frick, R. Stepanov, A. Shukurov and D. Sokoloff","Structures in the RM sky","16 pages (LaTEX), 11 figures (eps), accepted for publication in MNRAS
  (uses mn.sty)","Mon.Not.Roy.Astron.Soc. 325 (2001) 649","10.1046/j.1365-8711.2001.04462.x",,"astro-ph",,"  Coherent structures in the distribution of the Faraday rotation measure of
extragalactic radio sources are isolated using wavelet transformation
technique. Signatures of the magnetic fields in the local (Orion) spiral arm,
the Sagittarius and Carina arms, the synchrotron Loop I and, possibly, the
Perseus arm have been revealed using the RM catalogues of Simard-Normandin et
al. (1981, 551 source)and Broten et al. (1988, 663 sources). Unlike earlier
analyses of the RM sky, our approach has allowed us to assess the stability of
the results with respect to modifications of the data sample.
  We estimate the mean magnetic field strength in the Orion arm as 1.4\pm0.3
mkGauss and find clear indication of a magnetic field reversal at a distance of
0.6-1 kpc towards the Galactic centre. Our analysis has revealed for the first
time the extension of the reversal in the Carina arm. The direction of magnetic
field in the Perseus arm is reversed with respect to that in the Orion arm. The
average pitch angle of magnetic field in the nearby spiral arms is 15^\circ,
and the mean field strength in the Sagittarius-Carina and Perseus arms is
1.7\pm0.3 mkGauss and 1.4\pm1.2 mkGauss, respectively. The line-of-sight
magnetic field in Loop I is estimated as 0.9\pm0.3 mkGauss. We find firm
evidence of a dominant even symmetry of the local mean field with respect to
the galactic equator.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 12:40:31 GMT""},{""version"":""v2"",""created"":""Fri, 30 Mar 2001 16:25:20 GMT""}]","2009-10-31"
"astro-ph/0012460","Anvar Shukurov","Anvar Shukurov","Global Magnetic Structures in Spiral Galaxies: Evidence for Dynamo
  Action","10 pages (LaTEX), 3 figures (EPS)","The Interstellar Medium In M31 And M33, 232 WE-Heraeus Seminar,
  E.M. Berkhuijsen, R. Beck, R.A.M. Walterbos (Eds), Shaker Verlag, Aachen,
  2000, pp. 191-200",,,"astro-ph",,"  Observational evidence for dynamo action in spiral galaxies is reviewed, and
the capabilities of various theories in explaining the basic features of
galactic magnetic fields are discussed. Mean-field dynamo models appear to be
unique in providing a coherent explanation of a wide variety of magnetic
features in spiral galaxies.
  Reliable modelling of global magnetic structures, such as the magnetic ring
in M31, requires detailed knowledge of the rotation curve, the magnitude and
radial profile of turbulent and noncircular systematic velocities, the scale
height of the warm ionized layer, the total gas density, the turbulent scale
and their variations with galactocentric radius. More detailed models involving
the effects of the spiral arms on magnetic field require the knowledge of the
arm-interarm contrasts in the above quantities.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 15:13:08 GMT""}]","2007-05-23"
"astro-ph/0012461","Preeti Kharb","Preeti Kharb & Prajval Shastri","The parsec-scale central components of FR I radio galaxies","4 pages (including 4 figures) to be published in 'Particles and
  Fields in Radio Galaxies', an ASP Conference Series on the proceedings of the
  Oxford workshop held 2000 August, R. A. Laing and K. M. Blundell, editors",,,,"astro-ph",,"  A majority of a complete sample of 3CR FR I radio galaxies show unresolved
optical nuclear sources on the scales of 0.1 arcsec. About half of the 3CR FR
II radio galaxies observed with the HST also show Compact Central Cores (CCC).
These CCCs have been interpreted as the optical counterparts of the non-thermal
radio cores in these radio galaxies (Chiaberge, Capetti, & Celotti 1999). We
show that the optical flux density of the CCCs in FR Is is correlated with the
radio core prominence. This correlation supports the argument of Chiaberge et
al. that the CCC radiation is of a non-thermal synchrotron origin, which is
relativistically beamed along with the radio emission.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 15:25:17 GMT""}]","2007-05-23"
"cond-mat/0012373","Qimiao Si","Qimiao Si","Heat transport and spin-charge separation in the normal state of high
  temperature superconductors","3 pages, 1 figure",,"10.1016/S0921-4534(01)00710-9",,"cond-mat.supr-con cond-mat.str-el",,"  Hill et al. have recently measured both the thermal and charge conductivities
in the normal state of a high temperature superconductor. Based on the
vanishing of the Wiedemann-Franz ratio in the extrapolated zero temperature
limit, they conclude that the charge carriers in this material are not
fermionic. Here I make a simple observation that the prefactor in the
temperature dependence of the measured thermal conductivity is unusually large,
corresponding to an extremely small energy scale $T_0 \approx 0.15$ K. I argue
that $T_0$ should be interpreted as a collective scale. Based on
model-independent considerations, I also argue that the experiment leads to two
possibilities: 1) The charge-carrying excitations are non-fermionic. And much
of the heat current is in fact carried by distinctive charge-neutral
excitations; 2) The charge-carrying excitations are fermionic, but a subtle
ordering transition occurs at $T_0$.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 22:15:34 GMT""}]","2009-10-31"
"cond-mat/0012385","Kun Yang","Kun Yang (NHMFL and Florida State Univ.)","Inhomogeneous superconducting state in quasi-one-dimensional systems","4 pages with one embedded eps figure","Phys. Rev. B 63, 140511 (2001).","10.1103/PhysRevB.63.140511",,"cond-mat.supr-con",,"  We report on results of theoretical study of non-uniform superconducting
states in quasi-one-dimensional systems, with attractive interactions and
Zeeman splitting between electron spins. Using bosonization to treat intrachain
electron-electron interactions, and a combination of renormalization group and
mean-field approximation to tackle interchain couplings, we obtain the phase
diagram of the system, and show that the transition between the uniform and
non-uniform superconducting phases is a continuous transition of the
commensurate-incommensurate type.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 16:22:49 GMT""}]","2009-10-31"
"cond-mat/0012386",,"G. M. Kavoulakis (LTH, Lund, Sweden)","Bose-Einstein condensation of excitons in Cu$_2$O","6 pages, RevTex, 1 ps figure","Phys. Rev. B, 65 (2002) 035204","10.1103/PhysRevB.65.035204",,"cond-mat",,"  We present a parameter-free model which estimates the density of excitons in
Cu$_2$O, related to experiments that have tried to create an excitonic
Bose-Einstein condensate. Our study demonstrates that the triplet-state
excitons move along adiabats and obey classical statistics, while the
singlet-state excitons are a possible candidate for forming a Bose-Einstein
condensate. Finally we show that the results of this study do not change
qualitatively in a two-dimensional exciton gas, which can be realized in a
quantum well.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 17:46:52 GMT""},{""version"":""v2"",""created"":""Mon, 19 Feb 2001 12:13:44 GMT""},{""version"":""v3"",""created"":""Thu, 10 Jan 2002 14:25:31 GMT""}]","2009-10-31"
"cond-mat/0012387","Rupert M. Lewis","R. M. Lewis and J. P. Carini","Frequency Scaling of Microwave Conductivity in the Integer Quantum Hall
  Effect Minima","latex 4 pages, 4 figures",,"10.1103/PhysRevB.64.073310",,"cond-mat.mes-hall",,"  We measure the longitudinal conductivity $\sigma_{xx}$ at frequencies $1.246
{\rm GHz} \le f \le 10.05$ GHz over a range of temperatures $235 {\rm mK} \le T
\le 4.2$ K with particular emphasis on the Quantum Hall plateaus. We find that
$Re(\sigma_{xx})$ scales linearly with frequency for a range of magnetic field
around the center of the plateaus, i.e. where $\sigma_{xx}(\omega) \gg
\sigma_{xx}^{DC}$. The width of this scaling region decreases with higher
temperature and vanishes by 1.2 K altogether. Comparison between localization
length determined from $\sigma_{xx}(\omega)$ and DC measurements on the same
wafer show good agreement.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 18:17:43 GMT""}]","2009-10-31"
"cond-mat/0012388","Frederic Affouard","F. Affouard and M. Descamps","Is there something of the MCT in orientationally disordered crystals ?","4 pages, 5 figures, REVTEX4",,"10.1103/PhysRevLett.87.035501",,"cond-mat.mtrl-sci cond-mat.soft",,"  Molecular Dynamics simulations have been performed on the orientationally
disordered crystal chloroadamantane: a model system where dynamics are almost
completely controlled by rotations. A critical temperature T_c = 225 K as
predicted by the Mode Coupling Theory can be clearly determined both in the
alpha and beta dynamical regimes. This investigation also shows the existence
of a second remarkable dynamical crossover at the temperature T_x > T_c
consistent with a previous NMR and MD study [1]. This allows us to confirm
clearly the existence of a 'landscape-influenced' regime occurring in the
temperature range [T_c-T_x] as recently proposed [2,3].
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 19:39:58 GMT""}]","2009-10-31"
"cond-mat/0012389","Douglas E. MacLaughlin","D. E. MacLaughlin (1), O. O. Bernal (2), R. H. Heffner (3), G. J.
  Nieuwenhuys (4), M. S. Rose (1), J. E. Sonier (3), B. Andraka (5), R. Chau
  (6), and M. B. Maple (6) ((1) Univ. of California, Riverside, (2) California
  State Univ., Los Angeles, (3) Los Alamos National Lab., (4) Leiden
  University, (5) Univ. of Florida, (6) Univ. of California, San Diego)","Glassy Spin Dynamics in Non-Fermi-Liquid UCu_{5-x}Pd_x, x = 1.0 and 1.5","4 pages, 4 figures, to be published in Physical Review Letters",,"10.1103/PhysRevLett.87.066402",,"cond-mat.str-el",,"  Local f-electron spin dynamics in the non-Fermi-liquid heavy-fermion alloys
UCu_{5-x}Pd_x, x = 1.0 and 1.5, have been studied using muon spin-lattice
relaxation. The sample-averaged asymmetry function Gbar(t) indicates strongly
inhomogeneous spin fluctuations, and exhibits the scaling Gbar(t,H) =
Gbar(t/H^\gamma) expected from glassy dynamics. At 0.05 K \gamma(x=1.0) = 0.35
\pm 0.1, but \gamma(x=1.5) = 0.7 \pm 0.1. This is in contrast to inelastic
neutron scattering results, which yield \gamma = 0.33 for both concentrations.
There is no sign of static magnetism \gtrsim 10^{-3} \mu_B/U ion in either
material above 0.05 K. Our results strongy suggest that both alloys are quantum
spin glasses.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 19:58:47 GMT""},{""version"":""v2"",""created"":""Tue, 19 Jun 2001 22:37:41 GMT""}]","2009-10-31"
"cond-mat/0012390","Jan W. Kantelhardt","Jan W. Kantelhardt, Yosef Ashkenazy, Plamen Ch. Ivanov, Armin Bunde,
  Shlomo Havlin, Thomas Penzel, Jorg-Hermann Peter, and H. Eugene Stanley","Characterization of Sleep Stages by Correlations of Heartbeat Increments","7 pages, 4 figures, revtex","Phys. Rev. E 65, 051908 (2002)","10.1103/PhysRevE.65.051908",,"cond-mat.stat-mech physics.bio-ph physics.data-an q-bio",,"  We study correlation properties of the magnitude and the sign of the
increments in the time intervals between successive heartbeats during light
sleep, deep sleep, and REM sleep using the detrended fluctuation analysis
method. We find short-range anticorrelations in the sign time series, which are
strong during deep sleep, weaker during light sleep and even weaker during REM
sleep. In contrast, we find long-range positive correlations in the magnitude
time series, which are strong during REM sleep and weaker during light sleep.
We observe uncorrelated behavior for the magnitude during deep sleep. Since the
magnitude series relates to the nonlinear properties of the original time
series, while the signs series relates to the linear properties, our findings
suggest that the nonlinear properties of the heartbeat dynamics are more
pronounced during REM sleep. Thus, the sign and the magnitude series provide
information which is useful in distinguishing between the sleep stages.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 20:25:19 GMT""},{""version"":""v2"",""created"":""Fri, 1 Mar 2002 19:54:26 GMT""}]","2009-10-31"
"cond-mat/0012391","Roland Faller","Roland Faller, Florian Mueller-Plathe, Manolis Doxastakis and Doros
  Theodorou","Local Structure and Dynamics of Trans-polyisoprene oligomers","25 pages, 15 figures, accepted by Macromolecules","Macromolecules 34(5) 1436-1448 (2001)","10.1021/ma0016782",,"cond-mat.soft cond-mat.mtrl-sci",,"  Mono- and poly-disperse melts of oligomers (average length 10 monomers) of
trans-1,4-polyisoprene are simulated in full atomistic detail. The force-field
is developed by means of a mixture of ab initio quantum-chemistry and an
automatic generation of empirical parameters. Comparisons to NMR and scattering
experiments validate the model. The local reorientation dynamics shows that for
C$-$H vectors there is a two-stage process consisting of an initial decay and a
late-stage decorrelation originating from overall reorientation. The atomistic
model can be successfully mapped onto a simple model including only beads for
the monomers with bond springs and bond angle potentials. End-bridging Monte
Carlo as an equilibration stage and molecular dynamics as the subsequent
simulation method together prove to be a useful method for polymer simulations.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 20:56:08 GMT""}]","2009-10-31"
"cond-mat/0012392","Jan W. Kantelhardt","Jan W. Kantelhardt, Stefanie Russ, and Armin Bunde","Excess Modes in the Vibrational Spectrum of Disordered Systems and the
  Boson Peak","4 pages, 4 figures, accepted for publication in PRB","Phys. Rev. B 63, 064302 (2001)","10.1103/PhysRevB.63.064302",,"cond-mat.dis-nn",,"  We study a disordered vibrational model system, where the spring constants k
are chosen from a distribution P(k) ~ 1/k above a cut-off value k_min > 0. We
can motivate this distribution by the presence of free volume in glassy
materials. We show that the model system reproduces several important features
of the boson peak in real glasses: (i) a low-frequency excess contribution to
the Debye density of states, (ii) the hump of the specific heat c_V(T)
including the power-law relation between height and position of the hump, and
(iii) the transition to localized modes well above the boson peak frequency.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 20:59:22 GMT""}]","2009-10-31"
"cond-mat/0012393","Tim Newman","T. J. Newman","Sign-time distribution for a random walker with a drifting boundary","5 pages",,"10.1088/0305-4470/34/10/102",,"cond-mat.stat-mech",,"  We present a derivation of the exact sign-time distribution for a random
walker in the presence of a boundary moving with constant velocity.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 21:01:49 GMT""}]","2009-10-31"
"cond-mat/0012394","Dr. Joachim Stelzer","Joachim Stelzer and Ralf Bernhard","Director configurations of a nematic liquid crystal confined in a
  toroidal geometry. A finite element study","18 pages RevTeX, 10 postscript figures",,,"WDF-00-02","cond-mat.soft",,"  Various director configurations of a nematic liquid crystal, confined in a
toroidal volume and subject to an external magnetic field, were evaluated
numerically by performing finite element calculations in three dimensions. The
equilibrium director field is found from a minimization of the elasto-magnetic
energy of the nematic. The director at the inner surface of the torus is fixed,
either along homeotropic or tangential direction. We consider both a
homogeneous and an azimuthal magnetic field, with its direction being in
conflict with the respective surface anchoring.
  The relative stability of topologically inequivalent configurations is
investigated in dependence on the strength of the magnetic field and the
geometrical parameters of the confining torus. We find that in a toroidal
geometry the director ""escape"" from a disclination, which usually occurs in a
cylindrical tube, is absolutely stable only for weak magnetic fields and
tangential anchoring, whereas for homeotropic anchoring director fields
containing disclination rings are more favorable. When a strong homogeneous
magnetic field is exerted laterally, the resulting director field is not any
more axially symmetric, instead, it reveals curved disclinations of finite
length.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 22:36:21 GMT""}]","2007-05-23"
"cond-mat/0012395","Ichiro Tsukada","I. Tsukada, T. Yamamoto, M. Takagi, T. Tsubone, S. Konno, K.
  Uchinokura","Ferromagnetism and large negative magnetoresistance in Pb doped
  Bi-Sr-Co-O misfit-layer compound","8 pages including eps figures. To be published in J. Phys. Soc. Jpn",,"10.1143/JPSJ.70.834",,"cond-mat.str-el cond-mat.mtrl-sci",,"  Ferromagnetism and accompanying large negative magnetoresistance in
Pb-substituted Bi-Sr-Co-O misfit-layer compound are investigated in detail.
Recent structural analysis of (Bi,Pb)${}_2$Sr${}_{3}$Co${}_2$O${}_9$, which has
been believed to be a Co analogue of
Bi${}_2$Sr${}_2$CaCu${}_2$O${}_{8+\delta}$, revealed that it has a more complex
structure including a CoO${}_2$ hexagonal layer [T. Yamamoto {\it et al.}, Jpn.
J. Appl. Phys. {\bf 39} (2000) L747]. Pb substitution for Bi not only
introduces holes into the conducting CoO${}_2$ layers but also creates a
certain amount of localized spins. Ferromagnetic transition appears at $T$ =
3.2 K with small spontaneous magnetization along the $c$ axis, and around the
transition temperature large and anisotropic negative magnetoresistance was
observed. This compound is the first example which shows ferromagnetic
long-range order in a two-dimensional metallic hexagnonal CoO${}_2$ layer.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 01:27:52 GMT""}]","2009-10-31"
"cond-mat/0012396","Yoshiyuki Fukumoto","Yoshiyuki Fukumoto (Science Univ. of Tokyo)","Magnetization Plateaus in the Shastry-Sutherland Model for
  SrCu_2(BO_3)_2: Results of Fourth-Order Perturbation Expansion with a
  Low-Density Approximation","8 pages, 12 figures",,"10.1143/JPSJ.70.1397",,"cond-mat.str-el",,"  Magnetization plateaus in the Shastry-Sutherland model for ${\rm
SrCu_2(BO_3)_2}$ are studied by the perturbation expansion method. The
fourth-order effective Hamiltonian which describes the dynamics of triplet
dimers (TD's) with $S^{\rm tot}_z=1$ in the singlet sea is derived and then
partially diagonalized for the space that consists of the TD configurations
with the lowest second-order energy. The fourth-order terms are treated within
a low-density approximation. Our procedure makes clear how TD interactions are
responsible for the formation of magnetization plateaus. Particularly, the
1/4-plateau is obtained by the fourth-neighbor TD repulsion in the fourth-order
perturbation, and a diagonal stripe arrangement of TD's appears at this
plateau.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 09:49:08 GMT""}]","2009-10-31"
"cond-mat/0012397","Caffarel","Michel Caffarel, Patrick Azaria, Bertrand Delamotte, Dominique
  Mouhanna","Spin-stiffness and topological defects in two-dimensional frustrated
  spin systems","RevTex, 25 pages, 14 figures, Minor changes, final version. To appear
  in Phys.Rev.B",,"10.1103/PhysRevB.64.014412",,"cond-mat.stat-mech",,"  Using a {\it collective} Monte Carlo algorithm we study the low-temperature
and long-distance properties of two systems of two-dimensional classical tops.
Both systems have the same spin-wave dynamics (low-temperature behavior) as a
large class of Heisenberg frustrated spin systems. They are constructed so that
to differ only by their topological properties. The spin-stiffnesses for the
two systems of tops are calculated for different temperatures and different
sizes of the sample. This allows to investigate the role of topological defects
in frustrated spin systems. Comparisons with Renormalization Group results
based on a Non Linear Sigma model approach and with the predictions of some
simple phenomenological model taking into account the topological excitations
are done.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 09:47:23 GMT""},{""version"":""v2"",""created"":""Mon, 14 May 2001 09:23:58 GMT""}]","2009-10-31"
"cond-mat/0012398","Michael Koehl","Immanuel Bloch, Michael K\""ohl, Markus Greiner, Theodor W. H\""ansch,
  and Tilman Esslinger","Optics with an Atom Laser Beam",,,"10.1103/PhysRevLett.87.030401",,"cond-mat",,"  We report on the atom optical manipulation of an atom laser beam. Reflection,
focusing and its storage in a resonator are demonstrated. Precise and versatile
mechanical control over an atom laser beam propagating in an inhomogeneous
magnetic field is achieved by optically inducing spin-flips between atomic
ground states with different magnetic moment. The magnetic force acting on the
atoms can thereby be effectively switched on and off. The surface of the atom
optical element is determined by the resonance condition for the spin-flip in
the inhomogeneous magnetic field. A mirror reflectivity of more than 98% is
measured.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 10:27:02 GMT""},{""version"":""v2"",""created"":""Tue, 20 Mar 2001 17:45:51 GMT""}]","2009-10-31"
"cond-mat/0012399","Nikolai Kopnin","N. B. Kopnin (Low Temperature Laboratory, Helsinki University of
  Technology and L. D. Landau Institute for Theoretical Physics, Moscow)","Vortex Dynamics and the Problem of the Transverse Force in Clean
  Superconductors and Fermi Superfluids","Proceeding of the Dresden Workshop ""Vortices in Unconventional
  Superconductors and Superfluids - Microscopic Structure and Dynamics"". 21
  pages, 2 figures",,,,"cond-mat.supr-con",,"  We review the basic ideas and results on the vortex dynamics in clean
superfluid Fermi systems. The forces acting on moving vortices are discussed
including the problem of the transverse force which was a matter of confusion
for quite a time. Finally, we formulate the equations of the vortex dynamics
which include all the forces and the inertial term associated with excitations
bound to the moving vortex.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 11:29:52 GMT""}]","2007-05-23"
"cond-mat/0012400","Yuri Skryabin","V.Bobrovskii, A.Mirmelstein, A.Podlesnyak and I.Zhdakhin","The calculation of parameters for Stevens Hamiltonian in a crystalline
  field generated by the electric charge uniformly extended in one direction","11 pages, latex, 6 figures",,,,"cond-mat.supr-con",,"  Exact expressions for the parameters of Stevens Hamiltonian are derived
within the framework of a specific model that assumes uniform character of
charge density distribution in a certain direction over crystalline lattice.
The new model is developed to strengthen the possibilities for analysis of
experimental data obtained by inelastic neutron scattering. It is particularly
valuable for studying the charge distribution in the layered perovskite-like
compounds doped with the rare-earth ions being used as a local probe.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 13:16:58 GMT""}]","2007-05-23"
"cond-mat/0012401","Vladimir V. Prudnikov","V.V. Prudnikov, P.V. Prudnikov, and A.A. Fedorenko","Stability of critical behaviour of weakly disordered systems with
  respect to the replica symmetry breaking","10 pages, RevTeX. Version 3 adds the $\beta$ functions for arbitrary
  dimension of system","Phys. Rev. B 63, 184201 (2001)","10.1103/PhysRevB.63.184201",,"cond-mat.dis-nn",,"  A field-theoretic description of the critical behaviour of the weakly
disordered systems is given. Directly, for three- and two-dimensional systems a
renormalization analysis of the effective Hamiltonian of model with replica
symmetry breaking (RSB) potentials is carried out in the two-loop
approximation. For case with 1-step RSB the fixed points (FP's) corresponding
to stability of the various types of critical behaviour are identified with the
use of the Pade-Borel summation technique. Analysis of FP's has shown a
stability of the critical behaviour of the weakly disordered systems with
respect to RSB effects and realization of former scenario of disorder influence
on critical behaviour.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 14:10:33 GMT""},{""version"":""v2"",""created"":""Sat, 23 Dec 2000 14:42:50 GMT""},{""version"":""v3"",""created"":""Mon, 29 Jan 2001 07:32:49 GMT""}]","2009-10-31"
"cond-mat/0012402","Leonid Didukh","L. Didukh, O.Kramar, Yu. Skorenkyy (Ternopil State Technical
  University, Ukraine)","Ground state energy of metallic ferromagnet in a generalized Hubbard
  model","9 pages, 11 eps figures",,,,"cond-mat.str-el",,"  In the present work ferromagnetic ordering in the Hubbard model generalized
by taking into account the inter-atomic exchange interaction and correlated
hopping in partially filled narrow band is considered. In the case of weak
electron-electron interaction the ground state energy and condition of
ferromagnetic state realization are found using the Green function technique.
The obtained results indicate the important role of correlated hopping.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 14:16:52 GMT""}]","2007-05-23"
"cond-mat/0012403","Baranov","D. Baranov, V. Yarunin (Joint Institute for Nuclear Research, Russia)","He-4 spectrum shift caused by He-3 admixture","10 pages, 1 figure, Submitted to Physica A, gratitude added",,"10.1016/S0378-4371(01)00174-1",,"cond-mat",,"  The shift of a maxon-roton He-4 excitation spectrum E via the He-3 admixture
is considered theoretically. The Bogoliubov formula for E(\rho, g) as a
function of Bose-condensate density \rho and of He-4/He-4 interaction g is used
as an element of partition function formalism of the whole system, presented in
the form of a path (functional) integral. The dependence of \rho on g,
He-4/He-3 interaction \lambda as well as on the pressure P, induced by He-3
admixture, is taken into account. The new model of g, suitable for analytical
calculations, is used for a description of a change of P within the constant
volume. The cases of positive and negative shifts are found as the result of
competition between interactions g and \lambda.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 14:22:21 GMT""},{""version"":""v2"",""created"":""Mon, 25 Dec 2000 14:06:46 GMT""}]","2009-10-31"
"cond-mat/0012404","Tatsuo Shibata","Tatsuo Shibata","A generalization of Clausius inequality for processes between
  nonequilibrium steady states in chemical reaction systems","4 pages, revtex4",,,,"cond-mat.stat-mech",,"  We investigate nonequilibrium chemical reaction systems from the view point
of steady state thermodynamics proposed by Oono and Paniconi [Prog. Theor.
Phys. Suppl. 130, 29 (1998)]. The concentrations of some compounds are operated
by an external system, so that a transition from a steady state to other steady
state takes place. We show that an analogue of Clausius inequality holds
macroscopically for the operation processes. This implies that the second law
of thermodynamics can be generalized, including nonequilibrium steady states.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 14:42:13 GMT""}]","2007-05-23"
