"astro-ph/0011231","Michael Kachelriess","M. Kachelriess","Ultrahigh energy cosmic rays and new particle physics","14 pages, 5 figures. Invited talk at ``CAPP-2K'', Verbier, July 2000",,"10.1063/1.1363517","CERN-TH 2000-324","astro-ph hep-ph",,"  The current status of the ultrahigh energy cosmic ray (UHE CR) enigma and
several proposed solutions involving particle physics beyond the standard model
are discussed. Emphasis is given to top--down models, and as a main example,
supermassive dark matter as galactic source for UHE CR and the status of its
experimental signatures (galactic anisotropy, chemical composition and
clustering) is reviewed. Then different approaches to calculate fragmentation
spectra of supermassive particles are discussed. Finally, it is argued that UHE
neutrinos cannot be - neither directly or indirectly - responsible for the
observed vertical air showers.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 20:03:05 GMT""}]","2009-10-31"
"cs/9511102",,"Lawrence C. Paulson","Set Theory for Verification: II. Induction and Recursion",,"published in Journal of Journal of Automated Reasoning 15 (1995),
  167-215",,,"cs.LO",,"  A theory of recursive definitions has been mechanized in Isabelle's
Zermelo-Fraenkel (ZF) set theory. The objective is to support the formalization
of particular recursive definitions for use in verification, semantics proofs
and other computational reasoning. Inductively defined sets are expressed as
least fixedpoints, applying the Knaster-Tarski Theorem over a suitable set.
Recursive functions are defined by well-founded recursion and its derivatives,
such as transfinite recursion. Recursive data structures are expressed by
applying the Knaster-Tarski Theorem to a set, such as V[omega], that is closed
under Cartesian product and disjoint sum. Worked examples include the
transitive closure of a relation, lists, variable-branching trees and mutually
recursive trees and forests. The Schr\""oder-Bernstein Theorem and the soundness
of propositional logic are proved in Isabelle sessions.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 00:00:00 GMT""}]","2008-02-03"
"gr-qc/0011046","Tsuda","Motomu Tsuda","N = 3 chiral supergravity compatible with the reality condition and
  higher N chiral Lagrangian density","20 pages, Latex, some more discussions and new references added, some
  typos corrected, accepted for publication in Physical Review D","Phys.Rev. D63 (2001) 104021","10.1103/PhysRevD.63.104021","SIT-HEP-00/10","gr-qc hep-th",,"  We obtain N = 3 chiral supergravity (SUGRA) compatible with the reality
condition by applying the prescription of constructing the chiral Lagrangian
density from the usual SUGRA. The $N = 3$ chiral Lagrangian density in
first-order form, which leads to the Ashtekar's canonical formulation, is
determined so that it reproduces the second-order Lagrangian density of the
usual SUGRA especially by adding appropriate four-fermion contact terms. We
show that the four-fermion contact terms added in the first-order chiral
Lagrangian density are the non-minimal terms required from the invariance under
first-order supersymmetry transformations. We also discuss the case of higher N
theories, especially for N = 4 and N = 8.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 05:27:09 GMT""},{""version"":""v2"",""created"":""Wed, 7 Feb 2001 05:20:20 GMT""}]","2009-10-31"
"gr-qc/0011047","Ralf Schuetzhold","Ralf Sch\""utzhold","On the Hawking effect","16 pages RevTeX, 5 EPS figures added","Phys.Rev.D64:024029,2001","10.1103/PhysRevD.64.024029",,"gr-qc",,"  In terms of the Painlev{\'e}-Gullstrand-Lema{\^\i}tre coordinates a rather
general scenario for the gravitational collapse of an object and the subsequent
formation of a horizon is described by a manifestly $C^\infty$-metric. For a
1+1 dimensional model of the collapse the leading contributions to the
Bogoliubov coefficients are calculated explicitely and the Hawking temperature
is recovered. But depending on the particular dynamics of the collapse the
final state represents either evaporation or anti-evaporation. The
generalization of the calculation to 3+1 dimensions is outlined and possible
implications are addressed. PACS-numbers: 04.70.Dy, 04.70.-s, 04.62.+v.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 09:56:39 GMT""},{""version"":""v2"",""created"":""Tue, 16 Jan 2001 16:42:20 GMT""},{""version"":""v3"",""created"":""Mon, 5 Mar 2001 14:02:06 GMT""}]","2011-07-19"
"gr-qc/0011048","Remo Garattini","Remo Garattini","Wormholes and Spacetime Foam: an approach to the Cosmological Constant
  and Entropy","6 pages, RevTex. To be submitted to the on-line proceedings of the
  Ninth Marcel Grossmann Conference (Rome, 2-8 July 2000); abbreviated version
  to be submitted to the printed proceedings",,,,"gr-qc hep-th",,"  This paper summarizes the contribution presented at the IX Marcel Grossmann
Meeting (Rome, July 2000). A simple model of spacetime foam, made by $N$
Schwarzschild wormholes in a semiclassical approximation, is here proposed. The
Casimir-like energy of the quantum fluctuation of such a model and its
probability of being realized are computed. Implications on the
Bekenstein-Hawking entropy and the cosmological constant are considered. A
proposal for an alternative foamy model formed by $N$ Schwarzschild-Anti-de
Sitter wormholes is here considered.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 10:44:59 GMT""}]","2007-05-23"
"gr-qc/0011049","Ulises Nucamendi","Ulises Nucamendi, Marcelo Salgado and Daniel Sudarsky","An alternative approach to the galactic dark matter problem","36 pages, 12 figures, Revtex, a brief discussion added, accepted for
  publication in PRD","Phys.Rev.D63:125016,2001","10.1103/PhysRevD.63.125016",,"gr-qc astro-ph",,"  We discuss scenarios in which the galactic dark matter in spiral galaxies is
described by a long range coherent field which settles in a stationary
configuration that might account for the features of the galactic rotation
curves. The simplest possibility is to consider scalar fields, so we discuss in
particular, two mechanisms that would account for the settlement of the scalar
field in a non-trivial configuration in the absence of a direct coupling of the
field with ordinary matter: topological defects, and spontaneous scalarization.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 15:57:47 GMT""},{""version"":""v2"",""created"":""Fri, 23 Feb 2001 11:29:30 GMT""}]","2010-11-19"
"hep-ex/0011040","Cheng-Ju Stephen Lin","Cheng-Ju Stephen Lin (representing the SLD Collaboration)","$B_s$ Mixing at SLD","6 pages, 1 figure, contributed to the proceedings of DPF2000","Int.J.Mod.Phys.A16S1B:616-618,2001","10.1142/S0217751X01007613","SLAC-PUB-8701","hep-ex",,"  We set a preliminary 95% C.L. exclusion on the oscillation frequency of
$B_s^0 - \bar{B_s^0}$ mixing using a sample of 400,000 hadronic $Z^0$ decays
collected by the SLD experiment at the SLC during the 1996-98 run. Three
analyses are presented in this paper. The first analysis partially reconstructs
the $B_s^0$ by combining a fully reconstructed $D_s$ with the remaining charged
B decay tracks. The second analysis selects a sample of events with a partially
reconstructed charm vertex and a lepton track. The third analysis reconstructs
b-hadrons topologically and exploits the $b \to c$ cascade charge structure to
determine the flavor of the b-hadron at decay. All three analyses take
advantage of the large forward-backward asymmetry of the polarized $Z^0 \to b
\bar{b}$ decays and information in the hemisphere opposite to the reconstructed
B vertex to determine the b-hadron flavor at production. The results of the
three analyses are combined to exclude the following values of the $B_s^0 -
\bar{B_s^0}$ oscillation frequency: $\Delta m_s < 7.6 ps^{-1}$ and $11.8 <
\Delta m_s < 14.8 ps^{-1}$ at the 95% confidence level.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 06:37:28 GMT""}]","2009-10-31"
"hep-ex/0011041","Cheng-Ju Stephen Lin","SLD Collaboration","Time Dependent $B_s^0 - \bar{B_s^0}$ Oscillations Using Exclusively
  Reconstructed $D_s^+$ Decays at SLD","24 pages, 9 figures, contributed to the XXX International Conference
  on High Energy Physics (ICHEP 2000), Osaka, Japan, 27 July - 2 August, 2000",,,"SLAC-PUB-8598","hep-ex",,"  We set a preliminary 95% C.L. exclusion on the oscillation frequency of
$B_s^0 - \bar{B_s^0}$ mixing using a sample of 400,000 hadronic $Z^0$ decays
collected by the SLD experiment at the SLC during the 1996-98 run. In this
analysis, $B_s^0$ mesons are partially reconstructed by combining a fully
reconstructed $D_s$ with other $B_s^0$ decay tracks. The $D_s$ decays are
reconstructed via the $\phi \pi$ and $K^* K$ channels. The $b$-hadron flavor at
production is determined by exploiting the large forward-backward asymmetry of
polarized $Z^0 \to b \bar{b}$ decays as well as information from the hemisphere
opposite to the reconstructed B decay. The flavor of the $B_s^0$ at the decay
vertex is determined by the charge of the $D_s$. A total of 361 candidates
passed the final event selection cuts. This analysis excludes the following
values of the $B_s^0 - \bar{B_s^0}$ mixing oscillation frequency: $\Delta m_s <
1.5$ ps$^{-1}$, $2.6 < \Delta m_s < 4.9$ ps$^{-1}$, and $10.8 < \Delta m_s <
13.5$ ps$^{-1}$ at the 95% confidence level.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 02:24:48 GMT""}]","2012-08-27"
"hep-lat/0011059","Z. Sroczynski","Zbigniew Sroczynski","An investigation into the Fermilab approach to heavy quarks on the
  lattice","3pp LaTeX2e using ijmpa1.sty (included), 6 PostScript figures.
  Contribution to proceedings of DPF2000 (section 18, Non-perturbative quantum
  field theory) Columbus, OH, Aug. 2000","Int.J.Mod.Phys. A16S1C (2001) 1231-1233","10.1142/S0217751X01009399","ILL-(TH)-00-09","hep-lat",,"  We use a space-time asymmetric O(a) improved fermion action and fix the
asymmetry non-perturbatively to restore the relativistic dispersion relation.
We compute spectra and matrix elements of quarkonia and heavy-light mesons and
compare with results obtained using a symmetric action with the Fermilab
interpretation i.e. that the physics of heavy lattice quarks depends solely on
their kinetic mass. We provide additional evidence to support this.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 18:07:13 GMT""}]","2009-10-31"
"hep-lat/0011060","Frank X. lee","Frank X. Lee (Lattice Hadron Physics Collaboration)","N* Mass Spectrum from an Anisotropic Action","Lattice 2000 (Spectrum), 4 pages, 4 figures","Nucl.Phys.Proc.Suppl.94:251-254,2001","10.1016/S0920-5632(01)00969-0",,"hep-lat hep-ph nucl-th",,"  Results are reported for N* masses in the 1/2+ and 1/2- sectors on an
anisotropic lattice. The gauge action is the usual plaquette plus rectangle
type, the quark action is of the D234 type, both having tadpole-improved
tree-level coefficients. Clear splittings from the nucleon ground state are
observed with smeared operators and 500 configurations. The first excited
states in each channel are further isolated, using a correlation matrix and the
variational method. The basic pattern of these splittings is consistent with
experimental observations.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 19:41:16 GMT""}]","2014-11-17"
"hep-lat/0011061","Nuclear Physics","S. Arunagiri (U. Madras)","On the short distance nonperturbative corrections in heavy quark
  expansion","4 pages, epscrc2 style, LATTICE 2000 (Heavy Quark Physics), Version
  to appear in Nucl. Phys. B (PS)","Nucl.Phys.Proc.Suppl. 94 (2001) 333-336","10.1016/S0920-5632(01)00956-2","UOM/NPh/HQP/00-07","hep-lat",,"  We study the corrections due to renormalons to the heavy hadron decay
width.The renormalons contribution estimated in terms of finite gluon mass
based on the assumption that the gluon mass represents the short distance
nonperturbative effects in the standard OPE (and hence in the heavy quark
expansion). We found that the corrections are about 10% of the leading decay
rate. We point out the implications for the assumption of quark-hadron duality
in heavy quark expansion.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 08:51:23 GMT""}]","2009-10-31"
"hep-ph/0011159","Gary Felder","Gary Felder and Igor Tkachev","LATTICEEASY: A Program for Lattice Simulations of Scalar Fields in an
  Expanding Universe","4 pages, 2 figures","Comput.Phys.Commun.178:929-932.2008","10.1016/j.cpc.2008.02.009",,"hep-ph gr-qc hep-lat hep-th",,"  We describe a C++ program that we have written and made available for
calculating the evolution of interacting scalar fields in an expanding
universe. The program is particularly useful for the study of reheating and
thermalization after inflation. The program and its full documentation are
available on the Web at http://physics.stanford.edu/gfelder/latticeeasy/ . In
this paper we provide a brief overview of what the program does and what it is
useful for.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 16:59:24 GMT""}]","2010-11-11"
"hep-ph/0011168","Colin Froggatt","C.D. Froggatt, H.B. Nielsen and Y. Takanishi","Neutrino Oscillations in Extended Anti-GUT Model","40 page LaTeX file; talk given at the Second Tropical Workshop on
  Particle Physics and Cosmology, San Juan, Puerto Rico, May 2000",,"10.1063/1.1328879","GUTPA/00/11/03","hep-ph",,"  What we call the Anti-GUT model is extended a bit to include also
right-handed neutrinos and thus make use of the see-saw mechanism for neutrino
masses. This model consists in assigning gauge quantum numbers to the known
Weyl fermions and the three see-saw right-handed neutrinos. Each family
(generation) is given its own Standard Model gauge fields and a gauge field
coupled to the $B-L$ quantum number for that family alone. Further we assign a
rather limited number of Higgs fields, so as to break these gauge groups down
to the Standard Model gauge group and to fit, w.r.t. order of magnitude, the
spectra and mixing angles of the quarks and leptons. We find a rather good fit,
which for neutrino oscillations favours the small mixing angle MSW solution,
although the mixing angle predicted is closest to the upper side of the
uncertainty range for the measured solar neutrino mixing angle. An idea for
making a ``finetuning''-principle to ``explain'' the large ratios found
empirically in physics, and answer such questions as ``why is the weak scale
low compared to the Planck scale?'', is proposed. A further very speculative
extension is supposed to ``explain'' why we have three families.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 16:25:46 GMT""}]","2009-10-31"
"hep-ph/0011170",,"I. Hinchliffe (LBNL), N. Kersting (LBNL/UCB)","Flavor Alignment in SUSY GUTs","20 pages, 1 figure","Phys.Rev.D63:115008,2001","10.1103/PhysRevD.63.115008","LBNL-47091","hep-ph",,"  A Supersymmetric Grand unified model is constructed based on SO(10)xSO(10)
symmetry in which new types of Yukawa matrices couple standard and exotic
fermions. Evolution of these couplings from the Grand Unified scale to the
electroweak scale causes some of them to be driven to their fixed points. This
solves the supersymmetric alignment problem and ensures that there are no
observable flavor changing neutral currents mediated by supersymmetric
particles. Fermion hierarchy and neutrino mixing constraints are automatically
satisfied in this formalism.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 21:29:47 GMT""}]","2014-11-17"
"hep-ph/0011171","Wei Zheng-tao","Zhengtao Wei (ITP, Beijing)","Exploring CPT violation in $B\to J/\psi K$ decays using kaon
  regeneration","8 pages, latex, no figures",,,,"hep-ph",,"  We present an analysis of CPT violation in $B\to J/\psi K$ decays. A method
of kaon regeneration is proposed to increase the $K_{S(L)}$ interference
effects. With the time evolution of both neutral B and K mesons, we show that
it is possible to determine the CPT violating parameter in $B^0-\bar{B^0}$
mixing or constrain it.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 00:41:22 GMT""}]","2016-09-06"
"hep-ph/0011172","Matthew Tully","M.B.Tully and G.C.Joshi (University of Melbourne)","Generating Neutrino Mass in the 331 Model","LaTex, 7 pages, no figures. Revised version to appear in Phys. Rev. D","Phys.Rev.D64:011301,2001","10.1103/PhysRevD.64.011301","UM-P-2000/047","hep-ph",,"  A mechanism for generating small tree-level Majorana mass for neutrinos is
implemented in the 331 Model. No additional fermions or scalars need to be
added, and no mass scale greater than a few TeV is invoked.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 01:29:45 GMT""},{""version"":""v2"",""created"":""Tue, 5 Jun 2001 04:40:53 GMT""}]","2009-12-31"
"hep-ph/0011173","Park Seong Chan","Kang Young Lee (KIAS), Seong Chan Park (SNU), H.S. Song (SNU), and
  Chaehyun Yu (SNU)","Probing Z' gauge boson with the spin configuration of top quark pair
  production at future $e^- e^+$ linear colliders","19 pages including 5 figures, ReVTeX","Phys.Rev.D63:094010,2001","10.1103/PhysRevD.63.094010","KIAS-P00071, SNUTP 00-031","hep-ph",,"  We explore the effects of extra neutral gauge boson involved in the
supersymmetric E6 model on the spin configuration of the top quark pair
produced at the polarized e- e+ collider. Generic mixing terms are considered
including kinetic mixing terms as well as mass mixing. In the off-diagonal spin
basis of the standard model, we show that the cross sections for the suppressed
spin configurations can be enhanced with the effects of the Z' boson through
the modification of the spin configuration of produced top quark pair enough to
be measured in the Linear Colliders, which provides the way to observe the
effects of Z' boson and discriminate the pattern of gauge group decomposition.
It is pointed out that the kinetic mixing may dilute the effects of mass mixing
terms, and we have to perform the combined analysis.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 06:47:43 GMT""}]","2011-03-23"
"hep-ph/0011174","Bingsong Zou","B.S. Zou (CCAST World Laboratory and Institute of High Energy Physics,
  CAS, Beijing, P.R.China)","Light Hadron Spectroscopy at BEPC","Postscript file, 10 pages. Invited talk at Low Energy Antiproton
  Physics Conference (LEAP2000), Venice, Italy, August, 2000","Nucl.Phys. A692 (2001) 362-371","10.1016/S0375-9474(01)01199-X",,"hep-ph",,"  The $J/\Psi$ and $\Psi'$ experiments at the Beijing Electron Positron
Collider (BEPC) play a unique role in many aspects of light hadron
spectroscopy, such as hunting for glueballs and hybrids, extracting $u\bar
u+d\bar d$ and $s\bar s$ components of mesons, and studying excited nucleons
and hyperons, i.e., $N^*$, $\Lambda^*$, $\Sigma^*$ and $\Xi^*$ resonances.
Physics objectives, recent results and future prospects of light hadron
spectroscopy at BEPC are presented.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 03:18:40 GMT""}]","2009-10-31"
"hep-ph/0011175","Xiao Zhenjun","Zhenjun Xiao, Wenjun Li, Libo Guo and Gongru Lu","Charmless decays B -> PP, PV, and effects of new strong and electroweak
  penguins in Topcolor-assisted Technicolor model","Latex file, 56 pages with 11 ps and eps figures. to be published in
  Eur.Phys.J. C","Eur.Phys.J.C18:681-709,2001","10.1007/s100520100562","HNU-TH-2000/23","hep-ph",,"  Based on the low energy effective Hamiltonian with generalized factorization,
we calculate the new physics contributions to the branching ratios and
CP-violating asymmetries of the two-body charmless hadronic decays $B \to PP,
PV$ from the new strong and electroweak penguin diagrams in the TC2 model. The
top-pion penguins dominate the new physics corrections, and both new gluonic
and electroweak penguins contribute effectively to most decay modes. For
tree-dominated decay modes $B \to \pi \pi, \rho \pi, etc,$ the new physics
corrections are less than 10%. For decays $B \to K^{(*)} \pi$, $K^{(*)} \eta$,
$etc$, the new physics enhancements can be rather large (from $- 70%$ to $\sim
200%$) and are insensitive to the variations of $N_c^{eff}$, $k^2$, $\eta$ and
$m_{\tilde{\pi}}$ within the reasonable ranges. For decays $B^0 \to \phi \pi$,
$\phi \eta^{(')}$, $K^* \bar{K}^0$ and $\rho^+ K^0$, $\delta {\cal B}$ is
strongly $N_c^{eff}-$dependent: varying from -90% to $\sim 1680%$ in the range
of $N_c^{eff}=2-\infty$. The new physics corrections to the CP-violating
asymmetries ${\cal A}_{CP}$ vary greatly for different B decay channels. For
five measured CP asymmetries of $B \to K \pi, K \eta', \omega \pi$ decays,
$\delta {\cal A}_{CP}$ is only about 20% and will be masked by large
theoretical uncertainties. The new physics enhancements to interesting $B \to K
\eta'$ decays are significant in size ($\sim 50%$), insensitive to the
variations of input parameters and hence lead to a plausible interpretation for
the unexpectedly large $B \to K \eta'$ decay rates. The TC2 model predictions
for branching ratios and CP-violating asymmteries of all fifty seven $B \to PP,
PV$ decay modes are consistent with the available data within one or two
standard deviations.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 07:01:18 GMT""}]","2009-01-07"
"hep-ph/0011176","Raj Gandhi","Raj Gandhi","Ultra-High Energy Neutrinos: A Review of Theoretical and
  Phenomenological Issues","Invited Talk at Neutrino 2000, XIX International Conference on
  Neutrino Physics and Astrophysics, Sudbury, Canada, June 16-21, 2000. 12
  pages. References updated; minor changes to text","Nucl.Phys.Proc.Suppl. 91 (2000) 453-461","10.1016/S0920-5632(00)00975-0",,"hep-ph astro-ph hep-ex",,"  We review the phenomenology of ultra-high energy (UHE) neutrino detection.
The motivations for looking for such neutrinos stemming from observational
evidence and the potential for new physics discoveries are enumerated, and
their expected sources and fluxes are given. Cross-sections with nucleons all
the way upto neutrino energies of 10^20 eV, and the attenuation of the fluxes
in the earth are discussed. Finally, sample event-rates for existing and future
Water/Ice Cerenkov detectors are provided.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 10:27:22 GMT""},{""version"":""v2"",""created"":""Wed, 6 Dec 2000 05:07:53 GMT""},{""version"":""v3"",""created"":""Sat, 3 Feb 2001 06:01:18 GMT""}]","2009-10-31"
"hep-ph/0011177","Pran Nath","Pran Nath","Physics From Extra Dimensions","Based on an invited review talk at the conference NANPino-2000 at
  Dubna, Russia, July 19-22,2000; 18 pages, Latex including 2 figures; Revised
  version with additional references, text unchanged","Part.Nucl.Lett.104:7-19,2001",,,"hep-ph hep-th",,"  A brief review of the recent developments in the physics from extra
dimensions is given with a focus on the effects of Kaluza-Klein excitations in
the Standard Model sector. It is shown that the current accurate data on the
Fermi constant and on other electro-weak parameters puts a lower bound on the
scale of extra dimensions of $\sim$ 3 TeV, and thus the observation of such
dimensions lies beyond the reach of accelerators in the near future. The
correction to the anomalous magnetic moment of the muon from extra dimensions
is discussed and one finds that with the current limit on the scale of extra
dimensions from the Fermi constant, the correction to $g_{\mu}-2$ does not
compete with the potentially large contributions from the supersymmetric
electro-weak correction. The possibility of generating Kaluza-Klein excitations
associated with large radius compactifications at the LHC is discussed. It is
shown that if such excitations are indeed produced their resonance structure
will encode information on the number of compactified dimensions as well as on
the nature of the specific orbifold compactification. A brief discussion of
difficulties such as rapid proton decay that one encounters in theories with
large radius compactifications is given.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 12:50:44 GMT""},{""version"":""v2"",""created"":""Wed, 6 Dec 2000 10:49:11 GMT""}]","2014-11-17"
"hep-ph/0011178","Aleksey I. Alekseev","Aleksey I. Alekseev","On dependence of nonperturbative contributions in $\bar\alpha_s(q^2)$ on
  an initial approximation of perturbation theory in an analytic approach to
  QCD","8 pages, LATEX, 1 Table. Talk presented at the XV International
  Workshop on High Energy Physics and Quantum Field Theory (QFTHEP'00), Sept.
  14 -- 20, 2000, Tver, Russia",,,"IHEP 2000-40","hep-ph",,"  In the framework of analytic approach to QCD, which has been recently
intensively developed, the dependence of nonperturbative contributions in a
running coupling of strong interaction on initial perturbative approximation to
3-loop order is studied. The nonperturbative contributions are obtained in an
explicit form. In the ultraviolet region they are shown to be represented in
the form of the expansion in the inverse powers of Euclidean momentum squared.
The expansion coefficients are calculated for different numbers of active quark
flavors $n_f$ and for different numbers of loops taken into account. For all
$n_f$ of interest it is shown that 2-loop order and 3-loop order corrections
result in partial compensation of 1-loop order leading in the ultraviolet
region nonperturbative contribution.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 15:18:00 GMT""}]","2007-05-23"
"hep-th/0011090","Corneliu Sochichiu","E.E. Donets, A.P. Isaev, C. Sochichiu, and M. Tsulaia","Brane Vacuum as Chain of Rotators","14 pages, JHEP class, no figs, considerable revision of the
  motivational part, some improvement of text and references, accepted in JHEP","JHEP 0012 (2000) 022","10.1088/1126-6708/2000/12/022",,"hep-th hep-lat math-ph math.MP",,"  We analyse the noncommutative U(1) sigma model, which arises from the vacuum
dynamics of the noncommutative charged tachyonic field. The sector of
``spherically symmetric'' excitations of the model is equivalent to a chain of
rotators. Classical solutions for this model are found, which are static and
``spherically symmetric'' in noncommutative spatial dimensions. The limit of
small noncommutativity reveals the presence of Polyakov vortices in the model.
A generalisation of the model to q-deformed space, which may serve as a
regularisation of the non-deformed model is also considered.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 16:38:24 GMT""},{""version"":""v2"",""created"":""Wed, 27 Dec 2000 06:47:04 GMT""}]","2009-10-31"
"hep-th/0011098","Yutaka Sakamura","Yutaka Sakamura","Our wall as the origin of CP violation","LaTeX file, 23 pages, 11 eps figures, title has been changed and some
  discussions are included","Nucl.Phys. B608 (2001) 279-300","10.1016/S0550-3213(01)00277-2","TIT/HEP-459","hep-th hep-ph",,"  A possibility that the origin of the CP violation in our world is a domain
wall itself, on which we are living, is investigated in the context of the
brane world scenario. We estimate the amount of the CP violation on our wall,
and show that either of order one or suppressed CP phases can be realized. An
interesting case where CP is violated due to the {\it coexistence} of the
walls, which conserve CP individually, is also considered. We also propose a
useful approximation for the estimation of the CP violation in the double-wall
background.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 17:43:47 GMT""},{""version"":""v2"",""created"":""Mon, 20 Nov 2000 11:38:23 GMT""},{""version"":""v3"",""created"":""Sat, 21 Apr 2001 08:36:01 GMT""}]","2009-10-31"
"hep-th/0011102","Nikolaos Mavromatos","G.K. Leontaris and N.E. Mavromatos","A Novel Mass Hierarchy and Discrete Excitation Spectra from
  Quantum-Fluctuating D-branes","21 pages latex, three eps figures incorporated","Phys.Rev. D64 (2001) 024008","10.1103/PhysRevD.64.024008","CERN-TH/2000-317","hep-th gr-qc hep-ph",,"  We elaborate further on a recently proposed scenario for generating a mass
hierarchy through quantum fluctuations of a single D3 brane, which represents
our world embedded in a bulk five-dimensional space time. In this scenario, the
quantum fluctuations of the D3-brane world in the bulk direction, quantified to
leading order via a `recoil' world-sheet logarithmic conformal field theory
approach, result in the dynamical appearance of a supersymmetry breaking
(obstruction) scale alpha. This may be naturally taken to be at the TeV range,
in order to provide a solution to the conventional gauge-hierarchy problem. The
bulk spatial direction is characterized by the dynamical appearance of an
horizon located at +- 1/alpha, inside which the positive energy conditions for
the existence of stable matter are satisfied. To ensure the correct value of
the four-dimensional Planck mass, the bulk string scale M_s is naturally found
to lie at an intermediate energy scale of 10^{14} GeV. As an exclusive feature
of the D3-brane quantum fluctuations (`recoil') we find that, for any given
M_5, there is a discrete mass spectrum for four-dimensional Kaluza-Klein (KK)
modes of bulk graviton and/or scalar fields. KK modes with masses 0 <= m <
sqrt{2}alpha << M_s are found to have wavefunctions peaked, and hence
localized, on the D3 brane at z=0.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 16:00:46 GMT""}]","2009-10-31"
"hep-th/0011105","Lorenzo Hernandez","E. Alvarez, C. Gomez, L. Hernandez","Non-Critical Poincar\'e Invariant Bosonic String Backgrounds and Closed
  String Tachyons","latex, 16 pages, 4 figures, misprints corrected","Nucl.Phys. B600 (2001) 185-196","10.1016/S0550-3213(01)00041-4","IFT-UAM/CSIC-00-33","hep-th",,"  A new family of non critical bosonic string backgrounds in arbitrary space
time dimension $D$ and with $ISO(1,D-2)$ Poincar\'e invariance are presented.
The metric warping factor and dilaton agree asymptotically with the linear
dilaton background. The closed string tachyon equation of motion enjoys, in the
linear approximation, an exact solution of ``kink'' type interpolating between
different expectation values. A renormalization group flow interpretation
,based on a closed string tachyon potential of type $-T^{2}e^{-T}$, is
suggested.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 19:01:10 GMT""},{""version"":""v2"",""created"":""Tue, 14 Nov 2000 14:30:31 GMT""},{""version"":""v3"",""created"":""Thu, 23 Nov 2000 11:36:04 GMT""}]","2009-10-31"
"hep-th/0011106","Igor Filippov","Igor Filippov, Stephen S. Pinsky, John R. Hiller","Renormalizing DLCQ Using Supersymmetry","13 pages, 2 figures, changed content","Phys.Lett.B506:221-230,2001","10.1016/S0370-2693(01)00410-5",,"hep-th hep-ph",,"  Recent string theory developments suggest the necessity to understand
supersymmetric gauge theories non-perturbatively, in various dimensions. In
this work we show that there is a standard Hamiltonian formulation that
generates a finite and supersymmetric result at every order of the DLCQ
approximation scheme. We present this DLCQ renormalized Hamiltonian and solve
for the bound states and the wave functions to verify that it exactly
reproduces the large N SDLCQ results. We find that it has two novel features:
it automatically chooses the t'Hooft prescription for renormalizing the
singularities and it introduces irrelevant operators that serve to preserve the
supersymmetry and improve the convergence. This is a first step in extending
the advantages of SDLCQ to non-supersymmetric theories.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 19:26:14 GMT""},{""version"":""v2"",""created"":""Fri, 9 Mar 2001 19:54:58 GMT""}]","2014-11-18"
