"astro-ph/0011233","Daniele Steer","D.A.Steer","Self-intersections and gravitational properties of chiral cosmic strings
  in Minkowski space","18 pages, 7 figures. Typos corrected and a reference added. Version
  to appear in PRD","Phys.Rev. D63 (2001) 083517","10.1103/PhysRevD.63.083517",,"astro-ph hep-ph",,"  Chiral cosmic strings are naturally produced at the end of D-term inflation
and they may have interesting cosmological consequences. As was first proved by
Carter and Peter, the equations of motion for chiral cosmic strings in
Minkowski space are integrable (just as for Nambu-Goto strings). Their
solutions are labeled by a function $k(\sigma - t)$ where $t$ is time and
$\sigma$ is the invariant length along the string, and the constraints on $k$,
which determines the charge on the string, are that $0 \leq k^2 \leq 1$. We
review the origin of this parameter and also discuss some general properties of
such strings which can be deduced from the equations of motion. The metric
around infinite chiral strings is then constructed in the weak field limit, and
studied as a function of $k$. We also consider the angular momentum of circular
chiral loops, and extend previous work to consider the evolution and
self-intersection properties of a more general family of chiral cosmic string
loops for which $k^2(\sigma-t)$ is not constant.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 19:15:17 GMT""},{""version"":""v2"",""created"":""Tue, 9 Jan 2001 12:47:13 GMT""}]","2009-10-31"
"cond-mat/0011213","Jean-Philippe Bouchaud","J.-P. Bouchaud, P. Claudin, D. Levine and M. Otto","Force chain splitting in granular materials: a mechanism for large scale
  pseudo-elastic behaviour","7 pages, 6 figures, An incorrect definition of the Poisson ratio in
  dimensions not equal to 3 was amended. The conclusions are unchanged",,"10.1007/s101890170100",,"cond-mat",,"  We investigate both numerically and analytically the effect of strong
disorder on the large scale properties of the hyperbolic equations for stresses
proposed in \protect\cite{bcc,wcc}. The physical mechanism that we model is the
local splitting of the force chains (the characteristics of the hyperbolic
equation) by packing defects. In analogy with the theory of light diffusion in
a turbid medium, we propose a Boltzmann-like equation to describe these
processes. We show that, for isotropic packings, the resulting large scale
effective equations for the stresses have exactly the same structure as those
of an elastic body, despite the fact that no displacement field needs to be
introduced at all. Correspondingly, the response function evolves from a two
peak structure at short scales to a broad hump at large scales. We find,
however, that the Poisson ratio is anomalously large and incompatible with
classical elasticity theory that requires the reference state to be
thermodynamically stable.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 09:05:39 GMT""},{""version"":""v2"",""created"":""Mon, 27 Nov 2000 13:25:13 GMT""}]","2009-10-31"
"cond-mat/0011214","Sergey K. Nemirovskii","Sergey K. Nemirovskii, A. Ja. Baltsevich","Stochastic Dynamics of a Vortex Loop. Large Scale Stirring Force","latex, 7 pages, 2 Postscript figures, uses subeqnar.sty,
  sprmindx.sty, cropmark.sty, physprbb.sty, svmult.cls, to be published in
  ""Quantized vortex dynamics and superfluid turbulence"", Ed. C. Barenghi
  (Springer Verlag, Berlin, 2001)",,,,"cond-mat.stat-mech cond-mat.soft",,"  Stochastic dynamics of a vortex filament obeying local induced approximation
equation plus random agitation is investigated by analytical and numerical
methods. The character of a stirring force is supposed to be a white noise with
spatial correlator concentrated at large distances comparable with size of the
loop. Dependence of the spectral function $<\mathbf{s}_\kappa ^\alpha
\mathbf{s}_\kappa ^\beta >$ of the vortex line on both the one-dimensional wave
vector $\kappa$ and intensity of the external force correlator
$<\mathbf{\zeta}_\kappa ^\alpha \mathbf{\zeta}_\kappa ^\alpha>$ was studied.
Here $\mathbf{s}_\kappa ^\alpha$ is the Fourier transform of the line element
position $\mathbf{s}^\alpha (\xi, t)$. It is shown that under the influence of
an external random force a vortex ring becomes a small tangle whose mean size
depends on external force intensity. The theoretical predictions and the
numerical results are in reasonable agreement.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 10:06:57 GMT""}]","2007-05-23"
"cond-mat/0011215","Sam Young Cho","Sam Young Cho, Kicheon Kang, Chul Koo Kim, and Chang-Mo Ryu","Spin Fluctuation and Persistent Current in a Mesoscopic Ring Coupled to
  a Quantum Dot","4 pages, 2 figures",,"10.1103/PhysRevB.64.033314",,"cond-mat.mes-hall cond-mat.str-el",,"  We investigate the persistent current influenced by the spin fluctuations in
a mesoscopic ring weakly coupled to a quantum dot. It is shown that the Kondo
effect gives rise to some unusual features of the persistent current in the
limit where the charge transfer between two subsystems is suppressed. Various
aspects of the crossover from a delocalized to a localized dot limit are
discussed in relation with the effect of the coherent response of the Kondo
cloud to the Aharonov-Bohm flux.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 10:56:50 GMT""}]","2009-10-31"
"cond-mat/0011216","Steffen Schaefer","Steffen Sch\""afer and David E Logan","Spectral properties of a narrow-band Anderson model","10 pages, 2 Postscript figures, uses RevTex 3.1; accepted for
  publication in Phys. Rev. B15","Phys. Rev. B 63, 45122 (2001)","10.1103/PhysRevB.63.045122",,"cond-mat.str-el",,"  We consider single-particle spectra of a symmetric narrow-band Anderson
impurity model, where the host bandwidth $D$ is small compared to the
hybridization strength $\Delta_{0}$. Simple 2nd order perturbation theory (2PT)
in $U$ is found to produce a rich spectral structure, that leads to rather good
agreement with extant Lanczos results and offers a transparent picture of the
underlying physics. It also leads naturally to two distinct regimes of spectral
behaviour, $\Delta_{0}Z/D\gg 1 $ and $\ll 1$ (with $Z$ the quasi-particle
weight), whose existence and essential characteristics are discussed and shown
to be independent of 2PT itself. The self-energy $\Sigma_{i\omega}$ is also
examined beyond the confines of PT. It is argued that on frequency scales of
order $\omega\sim\sqrt{Delta_{0}D}$, the self-energy in {\em strong} coupling
is given precisely by the 2PT result, and we point out that the resultant poles
in $\Sigma_{i\omega}$ connect continuously to that characteristic of the atomic
limit. This in turn offers a natural rationale for the known inability of the
skeleton expansion to capture such behaviour, and points to the intrinsic
dangers of partial infinite-order summations that are based on PT in $U$.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 12:39:26 GMT""}]","2009-10-31"
"cond-mat/0011217","Arno Schindlmayr","M. Scheffler and C. Stampfl","Theory of Adsorption on Metal Substrates","73 pages including 44 figures. A version with high-resolution figures
  and related publications can be found at
  http://www.fhi-berlin.mpg.de/th/paper.html","In ""Handbook of Surface Science, Vol. 2: Electronic Structure"",
  edited by K. Horn and M. Scheffler (Elsevier, Amsterdam, 2000), p. 286",,,"cond-mat.mtrl-sci",,"  Contents:
  5.1 Introduction
  5.2 Concepts and definitions
  5.3 The tight-binding picture of bonding
  5.4 Adsorption of isolated adatoms
  5.5 Alkali-metal adsorption: the traditional picture of on-surface adsorption
  5.6 Substitutional adsorption and formation of surface alloys
  5.7 Adsorption of CO on transition-metal surfaces - a model system for a
simple molecular adsorbate
  5.8 Co-adsorption [the example CO plus O on Ru(0001)]
  5.9 Chemical reactions at metal surfaces
  5.10 The catalytic oxidation of CO
  5.11 Summary outline of main points
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 12:30:39 GMT""}]","2016-08-31"
"cond-mat/0011218","Takayuki Shirakura","F. Matsubara (Department of Applied Physics, Tohoku University), T.
  Shirakura (Faculty of Humanities and Social Sciences, Iwate University) and
  S. Endoh (Department of Applied Physics, Tohoku University)","Phase Transition of a Heisenberg Spin-Glass Model in Three Dimensions","10 pages, 6 figures",,,,"cond-mat.dis-nn",,"  We study the phase transition of the $\pm J$ Heisenberg model in three
dimensions. Using a dynamical simulation method that removes a drift of the
system, the existence of the spin-glass (SG) phase at low temperatures is
suggested. The transition temperature is estimated to be $T_{\rm SG} \sim
0.18J$ from both equilibrium and off-equilibrium Monte-Carlo simulations. Our
result contradicts the chirality mechanism of the phase transition reported
recently by Kawamura which claims that it is not the spins but the chiralities
of the spins that are ordered in Heisenberg SG systems.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 12:54:53 GMT""}]","2007-05-23"
"cond-mat/0011219","Philippe Ghosez","Ph. Ghosez and X. Gonze","Band-by-band decomposition of the Born effective charges","9 pages","J. Phys. : Condens. Matter 12 (2000), 9179","10.1088/0953-8984/12/43/308","PhG-000907","cond-mat.mtrl-sci",,"  The Born effective charge, Z*, that describes the polarization created by
collective atomic displacements, can be computed from first-principles
following different techniques. We establish the connections existing between
these different formulations, and analyze the related band-by-band
decompositions. We show that unlike for the full Z*, the different band-by-band
values are not equal, and emphasize that one of them has a natural physical
meaning in terms of Wannier functions.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 13:12:02 GMT""}]","2009-10-31"
"cond-mat/0011220","Roessli","B. Roessli and P. B\""oni","Spin Excitations in Localized and Itinerant Magnets","Lecture given at the 8th Summer School on Neutron scattering, Zuoz,
  Switzerland, 2000; to be published in World Scientific (2000)",,,,"cond-mat.str-el",,"  Collective excitations in magnetic materials can be investigated by means of
inelastic neutron scattering. We show that this experimental method gives
access to the complete spectrum of magnetic fluctuations through the energy-
and momentum-dependence of the dynamical susceptibility. We focus on the
dynamical properties of magnets with localized spin densities and of metals.
  From such studies, microscopic parameters like exchange integrals, spin-wave
stiffness and relaxation times can be determined. This is of great help to test
current theories in magnetism.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 14:02:38 GMT""}]","2007-05-23"
"cond-mat/0011221","Arkadiusz Wojs","Arkadiusz Wojs, Kyung-Soo Yi, and John J. Quinn","Energy spectra and photoluminescence of fractional quantum Hall systems
  containing a valence-band hole","15 pages, 5 figures, submitted to Phil.Mag.B","Philos. Mag. B 81, 461 (2001)","10.1080/13642810110036761",,"cond-mat.mes-hall",,"  The energy spectrum of a two-dimensional electron gas (2DEG) interacting with
a valence-band hole is studied in the high magnetic field limit as a function
of the filling factor nu and the separation d between the electron and hole
layers. For d smaller than the magnetic length lambda, the hole binds one or
more electrons to form neutral (X) or charged (X-) excitons. The low-lying
states can be understood in terms of Laughlin-like correlations among the
constituent charged fermions (electrons and X-). For d comparable to lambda,
the electron-hole interaction is not strong enough to bind a full electron, and
fractionally charged excitons hQEn (bound states of a hole and one or more
Laughlin quasielectrons, QE) are formed. The effect of these excitonic
complexes on the photoluminescence spectrum is studied numerically for a wide
range of values of nu and d.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 13:15:32 GMT""}]","2009-10-31"
"cond-mat/0011222","Yitzhak Rabin","Sergey Panyukov, Yitzhak Rabin","Fluctuating Elastic Rings: Statics and Dynamics","43 pages, 9 Figures",,"10.1103/PhysRevE.64.011909",,"cond-mat.soft cond-mat.stat-mech",,"  We study the effects of thermal fluctuations on elastic rings. Analytical
expressions are derived for correlation functions of Euler angles, mean square
distance between points on the ring contour, radius of gyration, and
probability distribution of writhe fluctuations. Since fluctuation amplitudes
diverge in the limit of vanishing twist rigidity, twist elasticity is essential
for the description of fluctuating rings. We find a crossover from a small
scale regime in which the filament behaves as a straight rod, to a large scale
regime in which spontaneous curvature is important and twist rigidity affects
the spatial configurations of the ring. The fluctuation-dissipation relation
between correlation functions of Euler angles and response functions, is used
to study the deformation of the ring by external forces. The effects of inertia
and dissipation on the relaxation of temporal correlations of writhe
fluctuations, are analyzed using Langevin dynamics.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 13:56:30 GMT""},{""version"":""v2"",""created"":""Thu, 1 Feb 2001 14:54:31 GMT""},{""version"":""v3"",""created"":""Thu, 8 Feb 2001 19:02:38 GMT""}]","2009-10-31"
"cond-mat/0011223","Aleksey D. Drozdov","Aleksey D. Drozdov (Institute for Industrial Mathematics, Beersheba)
  and Al Dorfmann (Institute of Structural Engineering, Vienna)","The Payne effect for particle-reinforced elastomers","34 pages, 7 figures",,,,"cond-mat.mtrl-sci",,"  The study deals with the Payne effect (a substantial decrease in the storage
modulus of a particle-reinforced elastomer with an increase in the amplitude of
mechanical oscillations). The influence of temperature, concentration of filler
and amplitude and frequency of strains is analyzed on the mechanical response
of filled rubbery polymers. Constitutive equations are derived using the
concept of two interpenetrating networks: one comprises semiflexible polymeric
chains connected to temporary junctions, whereas the other is formed by
aggregated filler clusters. Adjustable parameters are found by fitting
experimental data for natural rubber, bromobutyl rubber and styrene-butadiene
rubber reinforced by carbon black and polymeric particles. The critical
concentration of particles is determined that characterizes transition from an
ensemble of disjoint clusters to the network of filler. The volume fraction of
filler corresponding to this transition is found to be close to theoretical
predictions based on the percolation theory, as well as to experimental data
for isolator-conductor transition.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 15:38:57 GMT""}]","2007-05-23"
"cs/0011016","Ming-Yang Kao","Ming-Yang Kao, Stephen R. Tate","Designing Proxies for Stock Market Indices is Computationally Hard","An abstract appeared in the Proceedings of the 10th Annual ACM-SIAM
  Symposium on Discrete Algorithms, 1999",,,,"cs.CE cs.CC",,"  In this paper, we study the problem of designing proxies (or portfolios) for
various stock market indices based on historical data. We use four different
methods for computing market indices, all of which are formulas used in actual
stock market analysis. For each index, we consider three criteria for designing
the proxy: the proxy must either track the market index, outperform the market
index, or perform within a margin of error of the index while maintaining a low
volatility. In eleven of the twelve cases (all combinations of four indices
with three criteria except the problem of sacrificing return for less
volatility using the price-relative index) we show that the problem is NP-hard,
and hence most likely intractable.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 02:51:49 GMT""}]","2007-05-23"
"gr-qc/0011041","Elena Cuoco","E. Cuoco, G. Calamai, L. Fabbroni, G. Losurdo, M. Mazzoni, R. Stanga,
  F. Vetrano","On line power spectra identification and whitening for the noise in
  interferometric gravitational wave detectors","28 pages, 21 figures, uses iopart.cls accepted for pubblication on
  Classical and Quantum Gravity","Class.Quant.Grav. 18 (2001) 1727-1752","10.1088/0264-9381/18/9/309",,"gr-qc",,"  In this paper we address both to the problem of identifying the noise Power
Spectral Density of interferometric detectors by parametric techniques and to
the problem of the whitening procedure of the sequence of data. We will
concentrate the study on a Power Spectral Density like the one of the
Italian-French detector VIRGO and we show that with a reasonable finite number
of parameters we succeed in modeling a spectrum like the theoretical one of
VIRGO, reproducing all its features. We propose also the use of adaptive
techniques to identify and to whiten on line the data of interferometric
detectors. We analyze the behavior of the adaptive techniques in the field of
stochastic gradient and in the
  Least Squares ones.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 12:23:25 GMT""},{""version"":""v2"",""created"":""Wed, 6 Dec 2000 14:00:45 GMT""},{""version"":""v3"",""created"":""Thu, 26 Apr 2001 11:00:39 GMT""}]","2016-08-31"
"gr-qc/0011042","John T. Whelan","John T. Whelan","A Stationary Approximation to the Spacetime of a Compact Object Binary","10 pages, LaTeX, no figures; to appear in the Proceedings of the
  Conference on Gravitational Waves: A Challenge to Theoretical Astrophysics at
  the ICTP, Trieste, Italy, June 2000",,,,"gr-qc",,"  The gravitational-radiation-induced inspiral of a binary system of compact
objects is considered. A scheme is described to model the regime in which the
gravitational interaction is too strong to use weak-field approximation
methods, but the time scale for decay of the orbits is still long compared to
the orbital period, by numerically solving for a stationary spacetime which
approximates the slowly evolving one. Equilibrium is to be maintained in the
radiating system by imposing a balance of incoming and outgoing radiation at
large distances. Numerical results from non-linear scalar field theory have
shown that such an approach can be effective modelling a slowly evolving
solution to a wave equation.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 05:22:35 GMT""}]","2007-05-23"
"gr-qc/0011043","Kenichi Sasaki","M. Hotta, K. Sasaki, T. Sasaki","Diffeomorphism on Horizon as an Asymptotic Isometry of Schwarzschild
  Black Hole","18 pages, no figures, corrected some typos","Class.Quant.Grav. 18 (2001) 1823-1834","10.1088/0264-9381/18/10/301","TU-606","gr-qc hep-th",,"  It is argued that the diffeomorphism on the horizontal sphere can be regarded
as a nontrivial asymptotic isometry of the Schwarzschild black hole. We propose
a new boundary condition of asymptotic metrics near the horizon and show that
the condition admits the local time-shift and diffeomorphism on the horizon as
the asymptotic symmetry.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 06:25:59 GMT""},{""version"":""v2"",""created"":""Tue, 14 Nov 2000 01:57:01 GMT""},{""version"":""v3"",""created"":""Thu, 15 Mar 2001 03:42:56 GMT""}]","2009-10-31"
"gr-qc/0011044","Hongsu Kim","Hongsu Kim, Chul Hoon Lee, Hyun Kyu Lee (Hanyang Univ., KOREA)","Non-vanishing Magnetic Flux through the Slightly-charged Kerr Black Hole","33pages, 1 figure, Revtex, some comments added, typos corrected","Phys.Rev. D63 (2001) 064037","10.1103/PhysRevD.63.064037",,"gr-qc astro-ph hep-th",,"  In association with the Blanford-Znajek mechanism for rotational energy
extraction from Kerr black holes, it is of some interest to explore how much of
magnetic flux can actually penetrate the horizon at least in idealized
situations. For completely uncharged Kerr hole case, it has been known for some
time that the magnetic flux gets entirely expelled when the hole is
maximally-rotating. In the mean time, it is known that when the rotating hole
is immersed in an originally uniform magnetic field surrounded by an ionized
interstellar medium (plasma), which is a more realistic situation, the hole
accretes certain amount of electric charge. In the present work, it is
demonstrated that as a result of this accretion charge small enough not to
disturb the geometry, the magnetic flux through this slightly charged Kerr hole
depends not only on the hole's angular momentum but on the hole's charge as
well such that it never vanishes for any value of the hole's angular momentum.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 07:30:18 GMT""},{""version"":""v2"",""created"":""Wed, 15 Nov 2000 07:29:47 GMT""}]","2009-10-31"
"gr-qc/0011045","Sawa Manoff","S. Manoff, B. Dimitrov","Weyl's spaces with shear-free and expansion-free conformal Killing
  vectors and the motion of a free spinless test particle","21 pages, LaTeX. The title is squeezed. Some typos and explanations
  are removed. New references are added and all references are written in the
  form required by Classical and Quantum Gravity",,,,"gr-qc",,"  Conditions for the existence of shear-free and expansion-free non-null vector
fields in spaces with affine connections and metrics are found. On their basis
Weyl's spaces with shear-free and expansion-free conformal Killing vectors are
considered. The necessary and sufficient conditions are found under which a
free spinless test particle could move in spaces with affine connections and
metrics on a curve described by means of an auto-parallel equation. In Weyl's
spaces with Weyl's covector, constructed by the use of a dilaton field, the
dilaton field appears as a scaling factor for the rest mass density of the test
particle.
  PACS numbers: 02.40.Ky, 04.20.Cv, 04.50.+h, 04.90.+e
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 13:48:52 GMT""},{""version"":""v2"",""created"":""Thu, 30 Nov 2000 08:30:38 GMT""}]","2007-05-23"
"hep-ex/0011038","Nickolas Solomey","N. Solomey (Univ. of Chicago)","Neutral Hyperon and H-Dibaryon Results from KTeV","4 pages, 4 fiugres, presented at the Conference on the intersection
  of particle and nuclear physics (CIPANP), May 2000, Quebec City, Canada","AIP Conf.Proc. 549 (2002) 263-266","10.1063/1.1345252",,"hep-ex",,"  Results from the KTeV experiment at Fermilab using neutral Xi hyperons are
presented, especially the first form-factor (FF) measurement from its
semi-leptonic decay. This decay, which is an important test of the Standard
Model, was observed for the first time using the 1997 KTeV experiment. We also
report on the analysis of a large samples of neutral Xi weak radiative decays,
and a search for the decay of a lightly bound $H^0$ dibaryon.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 18:00:06 GMT""}]","2009-10-31"
"hep-ex/0011039","Steven Boyd","S. Boyd (for the K2K Collaboration)","Recent Results from the K2K (KEK-to-Kamioka) Neutrino Oscillation
  Experiment","7 pages, 7 figures. Talk given at the Sixth International Workshop on
  Tau Lepton Physics, Victoria, BC, Canada, September 19, 2000","Nucl.Phys.Proc.Suppl. 98 (2001) 175-181","10.1016/S0920-5632(01)01220-8",,"hep-ex",,"  The latest results of the K2K experiment are reported. The results are based
on data taken from June, 1999, to June, 2000, corresponding to a total $2.6
\cdot 10^{19}$ protons on target. Twenty seven fully-contained events in the
22.5 kton fiducial volume of Super-Kamiokande (SK) are observed. The expected
number of events is estimated to be 40.3^{+4.7}_{-4.6} assuming the null
oscillations hypothesis.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 01:03:46 GMT""}]","2009-10-31"
"hep-lat/0011056","Ferenc Niedermayer","P. Hasenfratz and F. Niedermayer (ITP, University of Bern)","Asymptotically free theories based on discrete subgroups","4 pages, 3 figures, Lattice 2000 (Spin Models)","Nucl.Phys.Proc.Suppl. 94 (2001) 575-578","10.1016/S0920-5632(01)00870-2",,"hep-lat",,"  We study the critical behavior of discrete spin models related to the 2d O(3)
non-linear sigma model. Precise numerical results suggest that models with
sufficiently large discrete subgroups are in the same universality class as the
original sigma model. We observe that at least up to correlation lengths
$\xi\approx 300$ the cut-off effects follow effectively an $\propto a$
behaviour both in the O(3) and in the dodecahedron model.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 20:43:38 GMT""}]","2009-10-31"
"hep-lat/0011057","John Stack","John D. Stack, William W. Tucker, and Alistair Hart","Cooling, Monopoles, and Vortices in SU(2) Lattice Gauge Theory","10 pages, Latex, 2 figures, to be published in the proceedings of
  International Symposium on Quantum Chromodynamics (QCD) and Color Confinement
  (Confinement 2000), Osaka,Japan, 7-10 Mar 2000",,,,"hep-lat",,"  We study monopoles and vortices in SU(2) lattice gauge theory on a 24**4
lattice at beta=2.50. We find a value of fundamental string tension from
monopoles in the maximum Abelian gauge consistent with the full SU(2) value.
Using direct and indirect center gauges, we find fundamental string tension
values from P-vortices which are larger than the full SU(2) result. After a
single cooling sweep, the string tensions from monopoles and P-vortices are all
30% lower than the full SU(2) value, while the U(1) string tension in the
maximum Abelian gauge remains consistent with the full SU(2) result. Blocking
the lattice after cooling does not restore the low values of string tension
found with monopoles and vortices.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 00:58:10 GMT""}]","2007-05-23"
"hep-lat/0011058","Guido Arnold","G. Arnold, Th. Lippert, Th. Neuhaus, K. Schilling","Finite size scaling analysis of compact QED","Lattice 2000 (Topics in Gauge Theories),6 pages, 6 figures, LaTeX","Nucl.Phys.Proc.Suppl. 94 (2001) 651-656","10.1016/S0920-5632(01)01001-5","WUB 00-19","hep-lat",,"  We describe results of a high-statistics finite size scaling analysis of 4d
compact U(1) lattice gauge theory with Wilson action at the phase transition
point. Using a multicanonical hybrid Monte Carlo algorithm we generate data
samples with more than 150 tunneling events between the metastable states of
the system, on lattice sizes up to 18^4. We performed a first analysis within
the Borgs-Kotecky finite size scaling scheme. As a result, we report evidence
for a first-order phase transition with a plaquette energy gap, G=0.02667(20),
at a transition coupling, beta_T=1.011128(11).
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 13:01:26 GMT""}]","2009-10-31"
"hep-ph/0011156","G. Domokos and S. Kovesi-Domokos","G. Domokos and S. Kovesi-Domokos (Johns Hopkins Univ.) William S.
  Burgett, Jason Wrinkle (Univ. of TX, Dallas)","Signatures of Precocious Unification in Orbiting Detectors","LaTeX 2e, 14 pages, 5 figures. Revised and expanded version: MC
  rerun, figures redrawn, text revised and expanded","JHEP 0107:017,2001","10.1088/1126-6708/2001/07/017","JHU-TIPAC 00031","hep-ph",,"  It has been conjectured that the string and unification scales may be
substantially lower than previously believed, perhaps a few TeV. In scenarios
of this type, orbiting detectors such OWL or AIRWATCH can observe spectacular
phenomena at trans-GZK energies. We explore measurable signatures of the
hypothesis that trans-GZK air showeres (``anomalous showers'') are originated
by strongly interacting neutrinos. The results of a MC simulation of such air
showers is described. A distinction between proton induced and ``anomalous''
showers becomes possible once a substantial sample of trans-GZK showers will be
available.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 17:05:44 GMT""},{""version"":""v2"",""created"":""Wed, 9 May 2001 19:54:02 GMT""},{""version"":""v3"",""created"":""Mon, 4 Jun 2001 18:08:50 GMT""}]","2010-02-03"
"hep-ph/0011157","Gerasyuta S. M.","S.M. Gerasyuta, V.I. Kochkin","Molecular status of non-qq mesons","15 pages, pdf,two minor typos in the Abstract and the text corrected",,,,"hep-ph",,"  The relativistic four-quark equations are found in the framework of the
dispersion relation technique. The calculations of non-qq meson amplitudes
estimate the contributions of three subamplitudes: four-quark amplitude,
glueball amplitude and hadronic molecule amplitudes.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 17:27:44 GMT""},{""version"":""v2"",""created"":""Wed, 27 Jun 2001 16:56:27 GMT""}]","2007-05-23"
"hep-ph/0011158","E. L. Koschmieder","E. L. Koschmieder","The masses of the mesons and baryons. Part IV. Integer multiple rule
  extension","7 pages, 3 figures. See: hep-lat/0002016, hep-lat/0005027",,,,"hep-ph",,"  It is shown that the empirical rule that the masses of the stable mesons and
baryons of the gamma-branch are integer multiples of the mass of the pi0 meson
with a maximal deviation of 3.3% holds also for the meson and baryon
resonances, regardless whether the spin of the particles is 0 or 1/2. It is
also shown that the masses of the particles with weak decay are integer
multiples of the mass of the charged mesons times a common factor 0.853.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 23:03:52 GMT""}]","2007-05-23"
"hep-ph/0011160","Gary Felder","Gary Felder & Lev Kofman","The Development of Equilibrium After Preheating","15 pages, 23 figures","Phys.Rev. D63 (2001) 103503","10.1103/PhysRevD.63.103503",,"hep-ph astro-ph gr-qc hep-lat hep-th nlin.CD",,"  We present a fully nonlinear study of the development of equilibrium after
preheating. Preheating is the exponentially rapid transfer of energy from the
nearly homogeneous inflaton field to fluctuations of other fields and/or the
inflaton itself. This rapid transfer leaves these fields in a highly nonthermal
state with energy concentrated in infrared modes. We have performed lattice
simulations of the evolution of interacting scalar fields during and after
preheating for a variety of inflationary models. We have formulated a set of
generic rules that govern the thermalization process in all of these models.
Notably, we see that once one of the fields is amplified through parametric
resonance or other mechanisms it rapidly excites other coupled fields to
exponentially large occupation numbers. These fields quickly acquire nearly
thermal spectra in the infrared, which gradually propagates into higher
momenta. Prior to the formation of total equilibrium, the excited fields group
into subsets with almost identical characteristics (e.g. group effective
temperature). The way fields form into these groups and the properties of the
groups depend on the couplings between them. We also studied the onset of chaos
after preheating by calculating the Lyapunov exponent of the scalar fields.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 02:51:25 GMT""},{""version"":""v2"",""created"":""Thu, 1 Feb 2001 21:55:11 GMT""}]","2009-10-31"
"hep-ph/0011161",,"Tao Huang, Zuo-Hong Li, Xiang-Yao Wu","Improved approach to the heavy-to-light form factors in the light-cone
  QCD sum","New version to appear in PRD",,"10.1103/PhysRevD.63.094001",,"hep-ph",,"  A systematic analysis shows that the main uncertainties in the form factors
are due to the twist-3 wave functions of the light mesons in the light-cone QCD
sum rules. We propose an improved approach, in which the twist-3 wave functions
doesn't make any contribution and therefore the possible pollution by them can
be avoided, to re-examine $B \to \pi$ semileptonic form factors. Also, a
comparison between the previous and our results from the light-cone QCD sum
rules is made. Our method will be beneficial to the precise extracting of
$\mid{V_{ub}}\mid$ from the experimental data on the processes $B \to \pi \ell
\widetilde{\nu_\ell}$.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 03:37:02 GMT""},{""version"":""v2"",""created"":""Tue, 20 Mar 2001 13:40:19 GMT""}]","2009-10-31"
"hep-ph/0011162","Neil Russell","Neil Russell","Tests of Spacetime Symmetry with Particle Traps","10 pages, invited talk at 23rd International Colloquium on
  Group-Theoretical Methods in Physics, Dubna, Russia, July-August 2000. One
  additional reference",,,,"hep-ph",,"  Lorentz and CPT symmetry have been tested at high precision in numerous
experiments. A general theoretical framework incorporating possible Lorentz and
CPT violation in an extension of the standard model of particle physics has
been developed. In this framework, analyses of several precision experiments
have been performed to find unsuppressed symmetry-violating signals. This paper
discusses features of the theory, presents results for trapped-particle
systems, and reports bounds from recent experiments.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 04:44:38 GMT""},{""version"":""v2"",""created"":""Mon, 20 Nov 2000 19:30:20 GMT""}]","2007-05-23"
"hep-ph/0011163","Darwin Chang","Darwin Chang","Challenges in Hyperon Decays","Contribution to Workshop On Low-Energy Pbar Storage Ring (Pbar2000)",,,"SLAC-Conf-8707","hep-ph",,"  We give an personal overview of some of the unsolved problems related to
hyperon decays. We cover nonleptonic decays, radiative decays and magnetic
moments. Some of the theoretical issues are also touched upon.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 07:37:55 GMT""},{""version"":""v2"",""created"":""Wed, 15 Nov 2000 06:19:57 GMT""},{""version"":""v3"",""created"":""Tue, 28 Nov 2000 22:28:15 GMT""}]","2007-05-23"
